identifiant,ecran,element,selecteur_maquette,correspondant_v2,statut,note
CPT.000,CARTOGRAPHIE,SOURCES,"prototype-html/compte/index.html (connexion/inscription) + prototype-html/account-flow.js (6 templates : verification-email/mot-de-passe-oublie/email-envoye/nouveau-mot-de-passe/mot-de-passe-modifie/compte-active, tous rendus dans la même coquille vide prototype-html/compte/*/index.html <main data-account-flow></main>)",7 routes V2 (compte + 6 écrans du parcours),INFO,"Supabase Auth et le code réel définissent les fonctions — la maquette ne définit que l'interface, comme demandé. Aucune correction avant cette cartographie."
CPT.001,/compte,Carte (aside sombre + zone formulaire),.account-shell/.account-card/.account-aside/.account-form-area,.v2-compte-page .account-section/.account-card/.account-aside/.account-form-area,CONFORME,Déjà exactement aligné sur les valeurs maquette (grid .78fr/1.22fr, cercle décoratif, paddings).
CPT.002,/compte,3 points numérotés (aside),.account-points,.v2-compte-page .account-points,CONFORME,Valeurs identiques.
CPT.003,/compte,Onglets Connexion/Inscription,".account-tabs (grid 1fr 1fr, <button role=""tab"" aria-selected>)",AuthTabs.tsx (<button className={active?...}> sans role/aria-selected/aria-controls),ECART_CORRIGE,"Style déjà identique (grid 2 colonnes, filet violet) mais sémantique ARIA absente — corrigé pour correspondre exactement à la maquette (accessibilité, pas seulement visuel)."
CPT.004,/compte,Choix OAuth (Google/Facebook),".oauth-choice > .oauth-buttons (grid 1fr 1fr) + p ""ou avec votre adresse e-mail""",".social-auth (grid 1 colonne, empilé) + .account-divider ""ou par e-mail"" (sibling séparé)",ECART_CORRIGE,"3 écarts réels : (1) boutons empilés au lieu de côte à côte (2 colonnes) ; (2) texte du séparateur différent ; (3) structure DOM éclatée en 2 conteneurs au lieu d'un seul .oauth-choice. Boutons restent désactivés (décision déjà actée, aucune app OAuth créée — non touché)."
CPT.005,/compte,Formulaire Connexion,".account-form (email/mot de passe/lien oublié/bouton)",LoginForm (AuthTabs.tsx),CONFORME,"Structure/valeurs déjà identiques (gap 14px, input 49px) ; fonction réelle (signInWithPassword + fusion panier anonyme) inchangée, dépasse la maquette sans la contredire."
CPT.006,/compte,Formulaire Inscription,".account-form (prénom/nom/email/mdp/confirmation/consentement/bouton)",SignupForm (AuthTabs.tsx),CONFORME,"Structure/valeurs déjà identiques ; fonction réelle (signUp + upgrade anonyme + messages d'erreur différenciés) dépasse la maquette sans la contredire."
CPT.010,verification-email,Coquille (label/titre/statut/liens),AccountFlowShell + template account-flow.js,AccountFlowShell + verification-email/page.tsx,CONFORME,Label/titre/icône/texte identiques au caractère près.
CPT.011,verification-email,Bouton ""Renvoyer l'e-mail"","button[data-demo-message] (déclenche un message inline dans la maquette statique)",ABSENT,ABSENT_V2_CORRIGE,"Élément entièrement absent de la V2. Fonction réelle possible (supabase.auth.resend) mais nécessite de connaître l'adresse e-mail, non transmise jusqu'ici lors de la redirection post-inscription — corrigé : e-mail transmis en paramètre, vrai appel resend() ajouté (jamais une simulation)."
CPT.020,email-envoye,Coquille + liens de sortie,template account-flow.js,email-envoye/page.tsx,CONFORME,Label/titre/texte/liens identiques au caractère près.
CPT.030,mot-de-passe-oublie,Coquille + formulaire,"template account-flow.js (.account-flow-form, gap 10px, input min-height 50px)","AccountFlowShell + ForgotPasswordForm (classe .account-form réutilisée à tort, gap 14px, input height 49px)",ECART_CORRIGE,"Le formulaire empruntait le style de la page /compte (.account-form) plutôt que celui, réellement distinct, du gabarit du parcours (.account-flow-form) — écart mesuré (gap et hauteur de champ). Règle .v2-account-flow-form ajoutée, formulaire reconstruit dessus."
CPT.031,mot-de-passe-oublie,Libellé du bouton,"""Recevoir le lien →""","""Envoyer le lien de réinitialisation →""",ECART_CORRIGE,Texte réel de la maquette rétabli.
CPT.032,mot-de-passe-oublie,Message d'erreur lien expiré,(absent de la maquette — fonction réelle du site),.admin-error conditionnel (?error=expired),CONFORME_FONCTION_PRESERVEE,Fonction réelle exceédant la maquette (retour depuis /auth/confirm sur jeton invalide) — préservée.
CPT.040,nouveau-mot-de-passe,Coquille + formulaire,"template account-flow.js (.account-flow-form + <ul class=""password-rules"">2 règles</ul>)","AccountFlowShell + NewPasswordForm (.account-form, aucune liste de règles)",ECART_CORRIGE,"Même correction de classe que CPT.030. Liste des règles (""Au moins 8 caractères"" / ""Les deux saisies doivent être identiques"") entièrement absente de la V2 — ajoutée à l'identique."
CPT.041,nouveau-mot-de-passe,Libellé confirmation + bouton,"""Confirmation du mot de passe"" / ""Enregistrer le mot de passe →""","""Confirmer le mot de passe"" / ""Enregistrer le nouveau mot de passe →""",ECART_CORRIGE,Textes réels de la maquette rétablis.
CPT.042,nouveau-mot-de-passe,Garde de session (jeton déjà échangé),(absent de la maquette — sécurité réelle),État ready (onAuthStateChange PASSWORD_RECOVERY + getSession),CONFORME_FONCTION_PRESERVEE,Fonction réelle de sécurité dépassant la maquette (jamais retenter le jeton brut côté client) — préservée intégralement.
CPT.050,mot-de-passe-modifie,Coquille + lien de sortie,template account-flow.js,mot-de-passe-modifie/page.tsx,CONFORME,Label/titre/icône/texte/lien identiques au caractère près.
CPT.060,compte-active,Coquille + lien de sortie,template account-flow.js,compte-active/page.tsx,CONFORME,"Label/titre/icône/texte/lien identiques au caractère près — voir CPT.070 pour la réserve d'atteignabilité réelle de cet écran."
CPT.070,TOUS LES ÉCRANS (7),Composant partagé Footer,footer.footer-dark (réel dans les 7 fichiers maquette),AUCUN Footer sur /compte NI sur les 6 écrans du parcours,ABSENT_V2_CORRIGE,"Vérifié dans le DOM et le code (grep exhaustif) : Footer.tsx n'était importé nulle part dans ce chantier — ni /compte/page.tsx, ni AccountFlowShell.tsx (coquille commune aux 6 écrans du parcours). Même défaut déjà rencontré et corrigé sur /mon-compte (chantier précédent). Ajouté : Footer.tsx dans AccountFlowShell (couvre les 6 écrans en un seul point) et dans /compte/page.tsx séparément."
CPT.071,TOUS LES ÉCRANS (7),Composant partagé Header,.site-header (illustratif dans les maquettes),Header.tsx (global, via (site)/layout.tsx),HORS_PERIMETRE,Non reconstruit — composant partagé déjà présent et inchangé.
