identifiant,section,element,selecteur_maquette,correspondant_v2,statut,note
REC.000,CARTOGRAPHIE,SOURCE,maquettes-complementaires-shm/recherche.html,src/app/(site)/recherche/page.tsx + lib/content/search.ts (searchSite),INFO,"searchSite() intégralement conservé (périmètre, colonnes, tri, MAX_RESULTS=12) — non modifié. Champ label/title/href/snippet déjà exactement la forme attendue par la maquette (type/h2/p)."
REC.001,SECTION 01 - Hero + recherche,Conteneur (fond lavande),.search-hero,.v2-search-hero (AJOUTÉ),ABSENT_V2_CORRIGE,Ancienne page utilisait .util-hero (dégradé bleu/violet générique, partagé avec Je Confesse/Rosée Matinale — non touché).
REC.002,SECTION 01 - Hero + recherche,Eyebrow + titre + texte,"eyebrow ""Recherche"" / h1 ""Que recherchez-vous ?"" / p",.v2-search-hero (AJOUTÉ),ABSENT_V2_CORRIGE,"Ancienne page n'affichait qu'un h1 dynamique (""Résultats pour : ..."" / ""Résultats de recherche""), sans accroche ni texte d'intro."
REC.003,SECTION 01 - Hero + recherche,Champ de recherche + bouton,.search-box (input + bouton ""Rechercher""),(ABSENT — le champ vivait uniquement dans l'en-tête du site),ABSENT_V2_CORRIGE,"DÉCISION DE DIRECTION EXPLICITE DE LA NOUVELLE MAQUETTE : un commentaire du code précédent justifiait l'absence d'un champ ici (""pas besoin d'en dupliquer un, il vit dans l'en-tête"") — la nouvelle maquette, qui fait foi pour l'interface, en place un directement dans le hero. Ajouté : formulaire GET réel vers /recherche?q=..., searchSite() inchangé, aucune duplication de logique (même moteur, même paramètre)."
REC.010,SECTION 02 - Résultats,En-tête (requête + compteur),.results-head (""Résultats pour « X »"" + ""N résultats""),.v2-search-results-head (AJOUTÉ),ABSENT_V2_CORRIGE,"Absent de l'ancienne page (seul le h1 du hero portait ce rôle). Donnée réelle (results.length), jamais le ""12 résultats"" fictif de la maquette."
REC.011,SECTION 02 - Résultats,Liste de résultats,.result (type/h2/p),.v2-search-result (remplace .search-result, legacy pré-V2),ECART_CORRIGE,Renommé et réaligné sur les valeurs réelles de la maquette. Données réelles (searchSite) inchangées.
REC.012,SECTION 02 - Résultats,État initial (aucune requête),(absent de la maquette — un seul état ""avec résultats"" montré),Message générique existant conservé,CONFORME,"Aucun exemple ""page vide au chargement"" dans la maquette — message d'invite existant conservé (cohérent avec la présence désormais réelle du champ de recherche dans le hero)."
REC.013,SECTION 02 - Résultats,État sans résultat,(absent de la maquette),Message générique existant conservé,CONFORME,Aucun exemple dans la maquette — message existant conservé et vérifié réellement (voir clôture).
REC.020,SECTION 03 - Composants partagés,Header,.header (illustratif),Header.tsx (composant réel),HORS_PERIMETRE,Non reconstruit.
REC.021,SECTION 03 - Composants partagés,Newsletter,(ABSENTE de cette maquette),Newsletter.tsx (présente dans l'ancienne version),ECART_CORRIGE,Nouvelle maquette sans section newsletter entre les résultats et le pied de page — retirée.
REC.022,SECTION 03 - Composants partagés,Footer,.footer (illustratif),Footer.tsx (composant réel),HORS_PERIMETRE,Non reconstruit.
