identifiant,section,element,selecteur_maquette,correspondant_v2,statut,note
DS.01,DS-01 Hero,"Conteneur ds-hero (fond, dégradé, orbite décorative)",.ds-hero,.v2-ds-hero,CONFORME,re-mesuré directement : identique à la maquette (1280×690)
DS.02,DS-01 Hero,ds-hero-inner — layout,.ds-hero-inner,.v2-ds-hero-inner,CONFORME,"re-mesuré directement : identique à la maquette (flex, align-items center, 1180×690)"
DS.03,DS-01 Hero,Cercle décoratif ds-hero-orbit,.ds-hero-orbit,.v2-ds-hero-orbit,CONFORME,re-mesuré directement : identique à la maquette (570×570)
DS.04,DS-01 Hero,Eyebrow « À propos de Serge »,.ds-hero-copy .eyebrow.light,.v2-ds-hero-copy .v2-eyebrow.light,CONFORME,"corrigé : line-height 1.6 restauré via .v2-ds-page (manquant sur tout le wrapper de page) — hauteur identique à la maquette désormais (21px, était 16px)"
DS.05,DS-01 Hero,H1 « Une vie façonnée par la »,.ds-hero h1,.v2-ds-hero h1,CONFORME,re-mesuré directement : identique à la maquette (Georgia 83.2px/500/lineHeight81.5/letterSpacing-4.16/730×163)
DS.06,DS-01 Hero,H1 — em « Parole de Dieu. »,.ds-hero h1 em,.v2-ds-hero h1 em,CONFORME,"corrigé (retour de validation humaine, 12/09) : font-style:normal avait été ajouté à tort sur .v2-ds-hero h1 em, absent de la maquette qui laisse l'<em> hériter de l'italique par défaut du tag — l'audit initial avait vérifié la couleur mais pas réellement le rendu italique, d'où un faux CONFORME. Re-mesuré après correction : italic des deux côtés."
DS.07,DS-01 Hero,Citation principale (blockquote),.ds-hero blockquote,.v2-ds-hero blockquote,CONFORME,"re-mesuré directement : identique à la maquette (Georgia 28.16px italique, bordure gauche violette)"
DS.08,DS-01 Hero,Suite de la citation (2e niveau),.ds-hero-copy > p:last-child,.v2-ds-hero-quote-secondary (span imbriqué),CONFORME,"adaptation structurelle documentée et déjà validée par Serge (retour du 11/09) : la maquette scinde la citation en deux paragraphes distincts (bug signalé), la V2 la fusionne en une seule citation continue sur 2 niveaux de police au sein du même blockquote — valeurs mesurées (Inter 16px lineHeight27.2 couleur rgba(255,255,255,.68)) identiques à la maquette, résultat visuel équivalent — cause de « texte moins dense » signalée en validation humaine trouvée et corrigée (voir DS.73) : le fontFamily/fontSize/fontWeight/lineHeight calculés étaient déjà identiques ; re-mesuré après correction, aucun écart résiduel."
DS.09,DS-02 Ouverture (Sa mission / lead),Grille ds-opening-grid,.ds-opening-grid,.v2-ds-opening-grid,CONFORME,"re-mesuré directement : identique à la maquette (220px/790px, gap 90px, 1180×392)"
DS.10,DS-02 Ouverture (Sa mission / lead),Index « 01 » (badge),.ds-mission-index span,.v2-ds-mission-index span,CONFORME,"re-mesuré directement : identique à la maquette (74×74, dégradé violet)"
DS.11,DS-02 Ouverture (Sa mission / lead),Lien « Sa mission → »,.ds-mission-index p,.v2-ds-mission-index p,CONFORME,"corrigé : line-height 1.6 restauré via .v2-ds-page (manquant sur tout le wrapper de page) — hauteur identique à la maquette désormais (33px, était 29px)"
DS.12,DS-02 Ouverture (Sa mission / lead),Paragraphe lead 1,.ds-lead p:first-child,.v2-ds-lead p:first-child,CONFORME,re-vérifié directement : Georgia clamp(23-34px)/1.5 identique
DS.13,DS-02 Ouverture (Sa mission / lead),Paragraphe lead 2 — strong « Entrepreneur... »,.ds-lead p strong:first-of-type,.v2-ds-lead p strong:first-of-type,CONFORME,re-mesuré directement : identique à la maquette (325×21)
DS.14,DS-02 Ouverture (Sa mission / lead),Paragraphe lead 2 — strong « ministre de la Parole... »,.ds-lead p strong:last-of-type,.v2-ds-lead p strong:last-of-type,CONFORME,re-mesuré directement : identique à la maquette (772×51)
DS.15,DS-03 Portrait,Grille ds-portrait-grid,.ds-portrait-grid,.v2-ds-portrait-grid,CONFORME,"re-mesuré directement : identique à la maquette (441.8/635.8px, gap 102.4px, 1180×647)"
DS.16,DS-03 Portrait,Image portrait,.ds-portrait-image img,.v2-ds-portrait-image img,CONFORME,"re-mesuré directement : identique à la maquette (442×610, object-fit cover, object-position 50% 28%)"
DS.17,DS-03 Portrait,Légende superposée sur la photo,.ds-portrait-image span,.v2-ds-portrait-image span,CONFORME,"re-mesuré directement : identique à la maquette (Georgia italique 22px, position absolute)"
DS.18,DS-03 Portrait,Eyebrow « Portrait »,.ds-portrait-copy .eyebrow.light,.v2-ds-portrait-copy .v2-eyebrow.light,CONFORME,"corrigé : line-height 1.6 restauré via .v2-ds-page (manquant sur tout le wrapper de page) — hauteur identique à la maquette désormais (21px, était 16px)"
DS.19,DS-03 Portrait,Paragraphe portrait 1 (citation italique),.ds-portrait-copy > p:not(.eyebrow):first-of-type,.v2-ds-portrait-copy > p:not(.v2-eyebrow):first-of-type,CONFORME,re-vérifié : Georgia italique clamp(24-38px) identique
DS.20,DS-03 Portrait,Paragraphe portrait 2 (Marié et père de famille...),.ds-portrait-copy > p:last-child,.v2-ds-portrait-copy > p:last-child,CONFORME,"re-mesuré directement : identique à la maquette (636×115, bordure supérieure identique)"
DS.21,DS-03 Portrait,Filigrane décoratif « PORTRAIT »,.ds-portrait::after,.v2-ds-portrait::after,CONFORME,"règle CSS identique lue directement dans le code (contenu, taille clamp, position, opacité) — confirmé visuellement présent au bas de la section"
DS.22,"DS-04 Parcours (histoire, jalons, formation, signature)",En-tête de section ds-story-heading,.ds-story-heading,.v2-ds-story-heading,CONFORME,"re-mesuré directement : identique à la maquette (220px/870px, gap 90px, 1180×149)"
DS.23,"DS-04 Parcours (histoire, jalons, formation, signature)",Index « 02 » (badge),.ds-story-heading .section-index span,.v2-ds-story-heading .v2-section-index span,CONFORME,re-mesuré directement : identique à la maquette
DS.24,"DS-04 Parcours (histoire, jalons, formation, signature)",Libellé « Son parcours »,.ds-story-heading .section-index p,.v2-ds-story-heading .v2-section-index p,CONFORME,"corrigé : line-height 1.6 restauré via .v2-ds-page (manquant sur tout le wrapper de page) — hauteur identique à la maquette désormais (33px, était 29px)"
DS.25,"DS-04 Parcours (histoire, jalons, formation, signature)",H2 « Une marche par l'Esprit. »,.ds-story-heading h2,.v2-ds-story-heading h2,CONFORME,"corrigé : couleur rgb(23,20,45) restaurée localement sur ce sélecteur (ancien --ink hérité du body, la règle globale h1..h4{color:var(--ink)} l'emportait sur l'héritage de .v2-ds-page)"
DS.26,"DS-04 Parcours (histoire, jalons, formation, signature)",Timeline — conteneur (bordure supérieure),.ds-timeline,.v2-ds-timeline,CONFORME,re-mesuré directement : identique à la maquette (1180×956)
DS.27,"DS-04 Parcours (histoire, jalons, formation, signature)",Jalon 1 — conteneur (grid),.ds-milestone:nth-child(1),.v2-ds-milestone:nth-child(1),CONFORME,"re-mesuré directement : identique à la maquette (240px/870px, gap 70px, 1180×223)"
DS.28,"DS-04 Parcours (histoire, jalons, formation, signature)",Jalon 1 — année « 1992 »,.ds-milestone:nth-child(1) strong,.v2-ds-milestone:nth-child(1) strong,CONFORME,re-mesuré directement : identique à la maquette (Georgia 48px violet)
DS.29,"DS-04 Parcours (histoire, jalons, formation, signature)",Jalon 1 — libellé « Révélation de Christ »,.ds-milestone:nth-child(1) span,.v2-ds-milestone:nth-child(1) span,CONFORME,"corrigé : line-height 1.6 restauré via .v2-ds-page (manquant sur tout le wrapper de page) — hauteur identique à la maquette désormais (19px, était 15px)"
DS.30,"DS-04 Parcours (histoire, jalons, formation, signature)",Jalon 1 — paragraphe,.ds-milestone:nth-child(1) > p,.v2-ds-milestone:nth-child(1) > p,CONFORME,re-vérifié : Inter 17px/1.85 identique
DS.31,"DS-04 Parcours (histoire, jalons, formation, signature)",Jalon 2 — conteneur (grid),.ds-milestone:nth-child(2),.v2-ds-milestone:nth-child(2),CONFORME,"re-mesuré directement : identique à la maquette (240px/870px, gap 70px, 1180×732)"
DS.32,"DS-04 Parcours (histoire, jalons, formation, signature)",Jalon 2 — année « 2017 »,.ds-milestone:nth-child(2) strong,.v2-ds-milestone:nth-child(2) strong,CONFORME,re-mesuré directement : identique à la maquette
DS.33,"DS-04 Parcours (histoire, jalons, formation, signature)",Jalon 2 — libellé « Mis à part... »,.ds-milestone:nth-child(2) span,.v2-ds-milestone:nth-child(2) span,CONFORME,"corrigé : line-height 1.6 restauré via .v2-ds-page (manquant sur tout le wrapper de page) — hauteur identique à la maquette désormais (29px, était 19px, texte sur 2 lignes)"
DS.34,"DS-04 Parcours (histoire, jalons, formation, signature)",Jalon 2 — paragraphe 1 (avec strong),.ds-milestone-copy p:first-child,.v2-ds-milestone-copy p:first-child,CONFORME,re-vérifié : structure et police identiques
DS.35,"DS-04 Parcours (histoire, jalons, formation, signature)",Jalon 2 — paragraphe 2 (Éphésiens 2:10),.ds-milestone-copy p:last-child,.v2-ds-milestone-copy p:last-child,CONFORME,"corrigé : line-height 1.6 restauré via .v2-ds-page (manquant sur tout le wrapper de page) — hauteur identique à la maquette désormais (94px, dérivé de la ligne 1.85, cohérent)"
DS.36,"DS-04 Parcours (histoire, jalons, formation, signature)",Citation encadrée ds-scripture,.ds-scripture,.v2-ds-scripture,CONFORME,"re-mesuré directement : identique à la maquette (1180×341, dégradé violet, padding 60px 80px)"
DS.37,"DS-04 Parcours (histoire, jalons, formation, signature)",Référence « Éphésiens 2:10 » (cite),.ds-scripture cite,.v2-ds-scripture cite,CONFORME,re-mesuré directement : identique à la maquette
DS.38,"DS-04 Parcours (histoire, jalons, formation, signature)",Guillemet décoratif ds-scripture::before,.ds-scripture::before,.v2-ds-scripture::before,CONFORME,règle CSS identique lue directement dans le code
DS.39,"DS-04 Parcours (histoire, jalons, formation, signature)",Bloc « Aujourd'hui » — conteneur,.ds-today,.v2-ds-today,CONFORME,"re-mesuré directement : identique à la maquette (240px/870px, gap 70px, 1180×277)"
DS.40,"DS-04 Parcours (histoire, jalons, formation, signature)",Mention « Aujourd'hui » (italique),.ds-today-mark,.v2-ds-today-mark,CONFORME,"re-vérifié : Georgia italique 31px violet identique (hauteur du bloc 277px identique, dérivée de la colonne de droite)"
DS.41,"DS-04 Parcours (histoire, jalons, formation, signature)",Paragraphe 1 (avec strong « expérimentant... »),.ds-today p:first-child,.v2-ds-today p:first-child,CONFORME,re-mesuré directement : identique à la maquette
DS.42,"DS-04 Parcours (histoire, jalons, formation, signature)","Paragraphe 2 (strong « Aujourd'hui, son ministère... »)",.ds-today p:last-child,.v2-ds-today p:last-child,CONFORME,"re-mesuré directement : identique à la maquette (font-weight 900 identique des deux côtés — non un défaut, cohérence confirmée)"
DS.43,"DS-04 Parcours (histoire, jalons, formation, signature)",Formation — conteneur (grid),.ds-formation,.v2-ds-formation,CONFORME,"re-mesuré directement : identique à la maquette (240px/870px, gap 70px, 1180×270)"
DS.44,"DS-04 Parcours (histoire, jalons, formation, signature)",Formation — années « 2022 »/« 2024 » + tiret,.ds-formation-years,.v2-ds-formation-years,CONFORME,"re-mesuré directement : identique à la maquette (240×172, spans 92×40 identiques)"
DS.45,"DS-04 Parcours (histoire, jalons, formation, signature)",Eyebrow « Formation spirituelle »,.ds-formation .eyebrow,.v2-ds-formation .v2-eyebrow,CONFORME,"corrigé : line-height 1.6 restauré via .v2-ds-page (manquant sur tout le wrapper de page) — hauteur identique à la maquette désormais (21px, était 16px)"
DS.46,"DS-04 Parcours (histoire, jalons, formation, signature)",Paragraphe formation (avec strong ISM/Charis),.ds-formation > div:last-child > p:last-child,.v2-ds-formation > div:last-child > p:last-child,CONFORME,re-vérifié : strong ISM/Charis identiques (Inter 17px/700)
DS.47,"DS-04 Parcours (histoire, jalons, formation, signature)",Signature de clôture ds-closing-signature — conteneur,.ds-closing-signature,.v2-ds-closing-signature,CONFORME,"re-mesuré directement : identique à la maquette (1180×573, dégradé violet foncé)"
DS.48,"DS-04 Parcours (histoire, jalons, formation, signature)",Citation de clôture (paragraphe),.ds-closing-signature p,.v2-ds-closing-signature p,CONFORME,re-mesuré directement : identique à la maquette (Georgia italique clamp(29-49px))
DS.49,"DS-04 Parcours (histoire, jalons, formation, signature)",Signature « Serge Hapita » (footer),.ds-closing-signature footer,.v2-ds-closing-signature footer,CONFORME,"corrigé : line-height 1.6 restauré via .v2-ds-page (manquant sur tout le wrapper de page) — hauteur identique à la maquette désormais (42px, était 37px)"
