identifiant,section,element,selecteur_maquette,correspondant_v2,statut,note
GF.000,CARTOGRAPHIE,SOURCE,prototype-html/boutique/t-shirt-voix-prophetique/index.html,src/app/(site)/boutique/[slug]/page.tsx,INFO,"Fiche minimale « gabarit produit » : aucune galerie, aucun avis, aucun partage, aucune navigation précédent/suivant dans la maquette — contrairement à la fiche Livre, dont elle ne partage QUE le squelette .book-detail-hero/.book-detail/.book-meta/.book-description."
GF.001,SECTION 01 - Fil d'Ariane,Bandeau (fond/filet),.book-detail-hero,.v2-product-page .v2-breadcrumbs-hero,CONFORME,"Classe partagée avec Livres, déjà certifiée, mêmes valeurs dans les deux maquettes."
GF.002,SECTION 01 - Fil d'Ariane,Liens Boutique › Titre,.commerce-wrap.book-breadcrumbs,.v2-commerce-wrap.v2-breadcrumbs,CONFORME,Structure et texte réels identiques.
GF.010,SECTION 02 - Fiche détail,Grille 2 colonnes (conteneur),.commerce-wrap.book-detail,.v2-commerce-wrap.product-grid,CONFORME,"Classe partagée avec Livres (mêmes valeurs .78fr/1.22fr dans les deux maquettes), déjà certifiée."
GF.011,SECTION 02 - Fiche détail,Panneau visuel produit,.product-visual (sticky/dégradé 145deg/min-height 500/box-shadow),.product-visual (AJOUTÉ),ABSENT_V2_CORRIGE,"AVANT : V2 réutilisait .product-cover de la fiche Livre par analogie — couverture 2:3, dégradé 135deg différent, texte 19px au lieu de 42px, aucune mention ""Visuel à venir"", aucun sticky réel. Reconstruit à l'identique de .product-visual (mesuré en direct : gradient/box-shadow/min-height confirmés identiques)."
GF.012,SECTION 02 - Fiche détail,Image réelle du produit,.product-visual img (si photo réelle),.product-visual img (object-fit:cover),CONFORME,Donnée réelle (goodie.image_url) ; aucun exemple avec photo dans la maquette (toujours le placeholder) mais traitement cohérent avec le Hub Boutique.
GF.013,SECTION 02 - Fiche détail,Accroche éditoriale du placeholder,.product-visual span (« Voix prophétique »),.product-visual span (repli : goodie.title),DONNEE_CMS_MANQUANTE,"Même anomalie que le Hub Boutique (BQ.017) : accroche par produit absente du modèle goodies. Repli sur le titre réel, jamais codé en dur."
GF.014,SECTION 02 - Fiche détail,Mention « Visuel à venir »,.product-visual small,.product-visual small (AJOUTÉ),ABSENT_V2_CORRIGE,Élément entièrement absent de l'ancienne version. Ajouté à l'identique (texte générique d'interface).
GF.015,SECTION 02 - Fiche détail,Badge disponibilité,.catalog-badge (<span>),.product-badge (<span>, corrigé de <div>),ECART_CORRIGE,"Balise <div> remplacée par <span> (balise réelle de la maquette) ; style déjà certifié (display:inline) et inchangé."
GF.016,SECTION 02 - Fiche détail,Titre produit (H1),.book-detail-copy h1,.product-title,CONFORME,"Classe partagée avec Livres, déjà certifiée, mêmes valeurs."
GF.017,SECTION 02 - Fiche détail,Bandeau d'indisponibilité,.product-unavailable,.product-unavailable (AJOUTÉ),ABSENT_V2_CORRIGE,"Bloc entièrement absent de l'ancienne version (aucun avertissement affiché pour un produit coming_soon). Ajouté à l'identique, conditionné à !available."
GF.018,SECTION 02 - Fiche détail,Note auteur/matière (byline),.book-byline (fiche Livre UNIQUEMENT — absent de la fiche Goodie),.product-author (AVANT : présent à tort),ECART_CORRIGE,"L'ancienne version affichait ""Coton bio · Fabrication à la demande"" (.product-author) — élément n'existant nulle part sur la fiche Goodie de la maquette (repris par analogie depuis .book-byline de la fiche Livre). Supprimé."
GF.019,SECTION 02 - Fiche détail,Avis (étoiles + compteur),(absent de la maquette Goodie ; fonction réelle du site),.rating-row + ReviewSection,CONFORME_FONCTION_PRESERVEE,"Aucune section avis dans cette maquette minimale — fonction réelle du site (avis clients, partagée avec Livres) préservée avec l'interface déjà établie (.rating-row, déjà certifiée), comme demandé (""si une fonction réelle dépasse le prototype statique, conserve-la"")."
GF.020,SECTION 02 - Fiche détail,Sélecteur Taille,.product-choice (label + <select disabled> ""À définir""),.product-choice (AJOUTÉ, <select>),ECART_CORRIGE,"AVANT : sélecteur à vignettes cliquables (.selector-label/.size-options/.size-opt), introuvable dans TOUT le prototype (recherche exhaustive : zéro occurrence) — construit par analogie. Reconstruit avec un <select> réel : désactivé + ""À définir"" si coming_soon (identique à la maquette), activé avec les tailles réelles (goodie.sizes) si disponible. Rendu conditionnel à sizes.length>0 (voir GF.023)."
GF.021,SECTION 02 - Fiche détail,Sélecteur Couleur,.product-choice (2e occurrence, Couleur),.product-choice (AJOUTÉ, <select>),ECART_CORRIGE,Même correction que GF.020 pour la couleur (goodie.colors).
GF.022,SECTION 02 - Fiche détail,CTA achat,.product-disabled (« Produit à venir », gris, cursor:not-allowed) — aucun exemple « disponible » dans la maquette,.product-disabled / .product-cta (AddToCartButton),ECART_CORRIGE,"État coming_soon reconstruit à l'identique de .product-disabled (mesuré : #8c879b, opacity du texte .75, cursor:not-allowed). État disponible (.product-cta, aucune référence maquette) : même géométrie, traitement violet dégradé déjà établi ailleurs pour un CTA actif (.v2-add-to-cart-primary/.checkout-button), signalé faute de direction graphique propre à cet état sur cette fiche."
GF.023,SECTION 02 - Fiche détail,Présence des sélecteurs quel que soit le produit,.product-choice affichés systématiquement (Taille ET Couleur) même sans donnée réelle,Rendu conditionnel (sizes.length>0 / colors.length>0),DIVERGENCE_ASSUMEE,"La maquette (démo unique, T-shirt) affiche toujours les deux <select>, y compris désactivés sans aucune donnée. Un mug, une casquette ou un tote bag n'ont réellement ni taille ni couleur en base : afficher un sélecteur vide serait fonctionnellement trompeur. Décision : n'afficher un .product-choice que si goodie.sizes/colors contient réellement des valeurs — fonction réelle préservée plutôt que reproduction littérale d'une maquette à produit unique."
GF.024,SECTION 02 - Fiche détail,Prix,(absent de la maquette — price_cents toujours null dans la démo),.product-price (si disponible),CONFORME_EXTENSION,"Aucun exemple dans la maquette. Affiché uniquement si disponible, avec le style .product-price déjà certifié pour Livres (générique, même traitement visuel)."
GF.030,SECTION 02 - Fiche détail,Tableau meta (conteneur),.book-meta (grille 3 colonnes, bordures, radius),.specs-table,CONFORME,"Classe .specs-table déjà certifiée pour Livres : structurellement identique à .book-meta (repeat(3,1fr), nth-child(3n)/nth-last-child(-n+3), mêmes valeurs), légitimement partagée."
GF.031,SECTION 02 - Fiche détail,Ligne « Type »,.book-meta (Type: T-shirt),(absent, remplacé),DONNEE_CMS_MANQUANTE,"Aucun champ ""type/catégorie"" dans le modèle goodies — ""T-shirt"" est une valeur propre à ce seul exemple, fausse pour un mug/une casquette/un tote bag. Non reproduite (jamais codée en dur pour tous les produits) ; les données réelles existantes qui dépassent la maquette (matière, coupe, entretien, fabrication, délai) sont montrées à la place, dans le même conteneur déjà certifié."
GF.032,SECTION 02 - Fiche détail,Ligne « Collection »,.book-meta (Collection: Voix Prophétique),(absent, remplacé),DONNEE_CMS_MANQUANTE,Même situation que GF.031 (aucun champ ""collection"" dans le modèle goodies).
GF.033,SECTION 02 - Fiche détail,Ligne « Disponibilité »,.book-meta (Disponibilité: À venir),.specs-table (AJOUTÉE),ABSENT_V2_CORRIGE,"Donnée réelle (goodie.status) jamais reprise dans le tableau meta — ajoutée en 1re ligne (""Disponible""/""À venir"")."
GF.034,SECTION 02 - Fiche détail,Lignes matière/coupe/entretien/fabrication/délai,(absentes de cette maquette — fonction réelle du site dépassant la démo),.specs-table (préservées),CONFORME_FONCTION_PRESERVEE,"Données réelles déjà saisies en admin (material/cut/care/fabrication/shipping_delay) — préservées et affichées dans le conteneur .book-meta/.specs-table déjà certifié, conformément à la consigne de préserver toute fonction réelle dépassant le gabarit statique."
GF.035,SECTION 02 - Fiche détail,Ligne « Tailles disponibles »,(absente de cette maquette),(retirée de l'ancienne version),ECART_CORRIGE,"Redondante avec le sélecteur Taille interactif (GF.020) juste au-dessus — retirée du tableau meta pour revenir à 6 lignes propres (2 rangées de 3, sans rangée incomplète)."
GF.040,SECTION 03 - Description,Section (fond sombre, grille, h2 sticky),.book-description/.book-description-grid,.v2-product-page .product-desc (section.product-desc),CONFORME,"Classe partagée avec Livres, déjà certifiée, mêmes valeurs (padding-block 92px, grille .55/1.45, h2 sticky clamp(40,5vw,61))."
GF.041,SECTION 03 - Description,Titre H2,« À propos du produit »,« À propos de ce produit » (avant correction),ECART_CORRIGE,Texte différent du réel de la maquette (« ce » en trop). Corrigé.
GF.042,SECTION 03 - Description,Paragraphe,(générique « coming soon » dans la démo, jamais montré si donnée réelle),{goodie.description && ...},CONFORME,"Donnée réelle (goodie.description, RichTextEditor admin) déjà correctement utilisée ; section masquée si vide, jamais la phrase de la maquette codée en dur — cohérent avec le traitement déjà établi pour Livres."
GF.050,SECTION 04 - Avis,Section avis complète,(absente de la maquette Goodie),ReviewSection,CONFORME_FONCTION_PRESERVEE,"Fonction réelle du site (composant partagé avec Livres, déjà certifié) préservée à l'identique — aucune direction graphique propre à signaler côté Goodie, la maquette ne montrant aucun exemple."
GF.060,SECTION 05 - Newsletter,Bloc newsletter complet,.newsletter,Newsletter.tsx (composant partagé),HORS_PERIMETRE,Déjà certifié lors de chantiers précédents. Non retouché.
GF.061,SECTION 06 - Footer,Footer complet,footer.footer-dark,Footer.tsx (composant partagé),HORS_PERIMETRE,Déjà certifié lors de chantiers précédents. Non retouché.
