identifiant,section,element,selecteur_maquette,correspondant_v2,statut,note
MI.01,MI-01 Hero,"Conteneur mission-hero (fond, dégradé)",.mission-hero,.v2-mission-hero,CONFORME,"re-mesuré directement : identique à la maquette (1280×720, flex align-items center)"
MI.02,MI-01 Hero,mission-hero-inner — layout,.mission-hero-inner,.v2-mission-hero-inner,CONFORME,re-mesuré directement : identique à la maquette (1180×527)
MI.03,MI-01 Hero,Orbite décorative 1 (grande),.mission-orbit.one,.v2-mission-orbit.one,CONFORME,re-mesuré directement : identique à la maquette (600×600)
MI.04,MI-01 Hero,Orbite décorative 2 (petite),.mission-orbit.two,.v2-mission-orbit.two,CONFORME,re-mesuré directement : identique à la maquette (320×320)
MI.05,MI-01 Hero,Filigrane décoratif « MISSION »,.mission-hero::after,.v2-mission-hero::after,CONFORME,règle CSS identique lue directement dans le code — confirmé visuellement présent en bas de la section
MI.06,MI-01 Hero,Eyebrow « La mission »,.mission-hero-inner .eyebrow.light,.v2-mission-hero-inner .v2-eyebrow.light,CONFORME,"corrigé : line-height 1.6 restauré via .v2-mission-page (manquant sur tout le wrapper de page) — hauteur identique à la maquette désormais (21px, était 16px)"
MI.07,MI-01 Hero,H1 « Révéler Christ. Affermir le chrétien. »,.mission-hero h1,.v2-mission-hero h1,CONFORME,re-mesuré directement : identique à la maquette (Georgia 89.6px/500/lineHeight90.5/letterSpacing-4.3/900×271)
MI.08,MI-01 Hero,H1 — em « Manifester le Royaume. »,.mission-hero h1 em,.v2-mission-hero h1 em,CONFORME,"corrigé (retour de validation humaine, 12/09) : font-style:normal avait été ajouté à tort sur .v2-mission-hero h1 em, absent de la maquette qui laisse l'<em> hériter de l'italique par défaut du tag — l'audit initial avait vérifié la couleur mais pas réellement le rendu italique, d'où un faux CONFORME. Re-mesuré après correction : italic des deux côtés."
MI.09,MI-02 Ouverture (Le mandat),Grille mission-opening-grid,.mission-opening-grid,.v2-mission-opening-grid,CONFORME,"re-mesuré directement : identique à la maquette (190px/830px, gap 90px, 1180×591)"
MI.10,MI-02 Ouverture (Le mandat),Index « 01 » (badge),.mission-index span,.v2-mission-index span,CONFORME,"re-mesuré directement : identique à la maquette (74×74, dégradé violet)"
MI.11,MI-02 Ouverture (Le mandat),Libellé « Le mandat »,.mission-index p,.v2-mission-index p,CONFORME,"corrigé : line-height 1.6 restauré via .v2-mission-page (manquant sur tout le wrapper de page) — hauteur identique à la maquette désormais (33px, était 29px)"
MI.12,MI-02 Ouverture (Le mandat),Citation-mandat (blockquote) + référence,.mission-lead,.v2-mission-lead,CONFORME,"re-mesuré directement : identique à la maquette (Georgia italique 35.2px/1.48, 830×295)"
MI.13,MI-02 Ouverture (Le mandat),Référence « Actes 26:15-18 » (cite),.mission-lead cite,.v2-mission-lead cite,CONFORME,re-mesuré directement : identique à la maquette
MI.14,MI-02 Ouverture (Le mandat),Paragraphe « Le ministère de Serge... »,.mission-copy p:nth-of-type(1),.v2-mission-copy p:nth-of-type(1),CONFORME,"re-mesuré directement : identique à la maquette (Georgia 19px/1.82, déjà correct — ligne de base propre à .mission-copy p)"
MI.15,MI-02 Ouverture (Le mandat),Paragraphe « Si tu ne connais pas... »,.mission-copy p:nth-of-type(2),.v2-mission-copy p:nth-of-type(2),CONFORME,re-mesuré directement : identique à la maquette
MI.16,MI-02 Ouverture (Le mandat),Paragraphe « Ce mandat rejoint aussi... »,.mission-copy p:nth-of-type(3),.v2-mission-copy p:nth-of-type(3),CONFORME,re-mesuré directement : identique à la maquette
MI.17,MI-02 Ouverture (Le mandat),Image large (baptême),.mission-wide-image,.v2-mission-wide-image,CONFORME,"re-mesuré directement : identique à la maquette (1180×620, object-fit cover, object-position 50% 31%)"
MI.18,MI-03 La vérité qui rend libre,Grille mission-truth-grid,.mission-truth-grid,.v2-mission-truth-grid,CONFORME,"re-mesuré directement : identique à la maquette (479.8/610.6px, gap 89.6px, 1180×762)"
MI.19,MI-03 La vérité qui rend libre,Image sticky (proclamation),.mission-truth-image,.v2-mission-truth-image,CONFORME,"re-mesuré directement : identique à la maquette (480×690, position sticky top 140px, object-position 58% center)"
MI.20,MI-03 La vérité qui rend libre,Eyebrow « 02 — La révélation »,.mission-truth-copy .eyebrow.light,.v2-mission-truth-copy .v2-eyebrow.light,CONFORME,"re-vérifié : cascade .mission-copy p (Georgia 19px/780/uppercase) prioritaire sur .eyebrow générique, identique des deux côtés — pas un défaut, comportement voulu"
MI.21,MI-03 La vérité qui rend libre,H2 « La vérité qui rend libre »,.mission-truth-copy h2,.v2-mission-truth-copy h2,CONFORME,"re-mesuré directement : identique à la maquette (blanc, Georgia 64px/500/-2.88px)"
MI.22,MI-03 La vérité qui rend libre,Paragraphe (Jésus s'adressait...),.mission-truth-copy p,.v2-mission-truth-copy p,CONFORME,re-mesuré directement : identique à la maquette
MI.23,MI-04 La conscience d'être fils,Grille mission-sonship-grid,.mission-sonship-grid,.v2-mission-sonship-grid,CONFORME,"re-mesuré directement : identique à la maquette (190px/830px, gap 90px, 1180×655)"
MI.24,MI-04 La conscience d'être fils,Filigrane décoratif « FILS »,.mission-sonship::after,.v2-mission-sonship::after,CONFORME,règle CSS identique lue directement dans le code
MI.25,MI-04 La conscience d'être fils,"Index « 03 » clair (badge, variante light)",.mission-index-light span,.v2-mission-index-light span,CONFORME,"re-mesuré directement : identique à la maquette (bordure 1px blanche 35%, dégradé identique)"
MI.26,MI-04 La conscience d'être fils,Libellé « L'identité » (variante light),.mission-index-light p,.v2-mission-index-light p,CONFORME,"corrigé : line-height 1.6 restauré via .v2-mission-page (manquant sur tout le wrapper de page) — hauteur identique à la maquette désormais (33px, était 29px)"
MI.27,MI-04 La conscience d'être fils,H2 « La conscience d'être fils »,.mission-sonship-copy h2,.v2-mission-sonship-copy h2,CONFORME,re-mesuré directement : identique à la maquette
MI.28,MI-04 La conscience d'être fils,Paragraphe 1 (Découvrir Christ...),.mission-sonship-copy p:nth-of-type(1),.v2-mission-sonship-copy p:nth-of-type(1),CONFORME,re-mesuré directement : identique à la maquette
MI.29,MI-04 La conscience d'être fils,Paragraphe 2 (Cette conscience change...),.mission-sonship-copy p:nth-of-type(2),.v2-mission-sonship-copy p:nth-of-type(2),CONFORME,re-mesuré directement : identique à la maquette
MI.30,MI-04 La conscience d'être fils,Paragraphe emphase encadré (Le fils qui connaît...),.mission-sonship-emphasis,.v2-mission-sonship-emphasis,CONFORME,"re-mesuré directement : identique à la maquette (Georgia italique 30.72px !important, bordure + fond translucide, 830×303)"
MI.31,MI-05 Le Royaume rendu visible,Grille mission-kingdom-grid,.mission-kingdom-grid,.v2-mission-kingdom-grid,CONFORME,"re-mesuré directement : identique à la maquette (599.7/490.7px, gap 89.6px, 1180×730)"
MI.32,MI-05 Le Royaume rendu visible,Eyebrow « 04 — La manifestation »,.mission-kingdom-copy .eyebrow,.v2-mission-kingdom-copy .v2-eyebrow,CONFORME,"re-vérifié : cascade identique à MI.20, couleur rgb(201,182,255) confirmée"
MI.33,MI-05 Le Royaume rendu visible,H2 « Le Royaume rendu visible »,.mission-kingdom-copy h2,.v2-mission-kingdom-copy h2,CONFORME,re-mesuré directement : identique à la maquette
MI.34,MI-05 Le Royaume rendu visible,Paragraphe (Le Royaume de Dieu se manifeste...),.mission-kingdom-copy p:nth-of-type(1),.v2-mission-kingdom-copy p:nth-of-type(1),CONFORME,re-mesuré directement : identique à la maquette
MI.35,MI-05 Le Royaume rendu visible,Paragraphe (Par l'enseignement de la Parole...),.mission-kingdom-copy p:nth-of-type(2),.v2-mission-kingdom-copy p:nth-of-type(2),CONFORME,re-mesuré directement : identique à la maquette
MI.36,MI-05 Le Royaume rendu visible,Image (envoi/enseignement),.mission-kingdom-image,.v2-mission-kingdom-image,CONFORME,"re-mesuré directement : identique à la maquette (491×730, object-fit contain)"
MI.37,MI-06 Et maintenant ?,Filigrane décoratif flèche « → »,.mission-next::after,.v2-mission-next::after,CONFORME,règle CSS identique lue directement dans le code
