identifiant,section,element,selecteur_maquette,correspondant_v2,statut,note
VS.01,VS-00 Page entière,-webkit-font-smoothing / line-height hérités,body (auto/1.6),.v2-category-hub-page (partagé avec Que dit la Bible),CONFORME,"corrigé au niveau de .v2-category-hub-page — voir référentiel Que dit la Bible QDLB.01/02, même classe partagée par les deux hubs catégorie"
VS.02,VS-01 Hero (.category-hero.life),Conteneur category-hero.life (dégradé encre→violet distinct),.category-hero.life,.v2-category-hub-hero.life,CONFORME,"re-mesuré directement (extract_full.js, viewport 1280) : identique à la maquette — dégradé propre à cette page, différent de Que dit la Bible (fond encre uni), contrôlé indépendamment sans présumer d'un habillage commun"
VS.03,VS-01 Hero (.category-hero.life),Filigrane numéro « 02 »,.category-mark,.v2-category-hub-mark,CONFORME,"re-mesuré directement (extract_full.js, viewport 1280) : identique à la maquette (116px/600)"
VS.04,VS-01 Hero (.category-hero.life),Badge « La Vie Supérieure » (category-badge.badge-life),.category-hero .category-badge.badge-life,.v2-category-hub-badge,CONFORME,"re-mesuré directement (extract_full.js, viewport 1280) : identique à la maquette (11px/800/uppercase, fond #49369b) — absent de Que dit la Bible, propre à cette page"
VS.05,VS-01 Hero (.category-hero.life),H1 « Les réalités de la vie en Christ » (≠ nom de rubrique),.category-hero h1,.v2-category-hub-hero h1,CONFORME,"re-mesuré directement (extract_full.js, viewport 1280) : identique à la maquette — titre distinct du nom de la rubrique, particularité propre à cette page"
VS.06,VS-01 Hero (.category-hero.life),Chapô hero,.category-hero p,.v2-category-hub-hero p,CONFORME,"re-mesuré directement (extract_full.js, viewport 1280) : identique à la maquette"
VS.07,VS-01 Hero (.category-hero.life),Motto italique (category-motto),.category-hero .category-motto,.v2-category-hub-motto,CONFORME,"re-mesuré directement (extract_full.js, viewport 1280) : identique à la maquette (25px italique #d9ccff) — absent de Que dit la Bible, propre à cette page"
VS.08,VS-02 Flux (.category-feed.direct-feed),Carte à la une (featured),.direct-feed .category-article.featured,CategoryHubFeed (featured),CONFORME,"re-mesuré directement (extract_full.js, viewport 1280) : identique à la maquette"
VS.09,VS-02 Flux (.category-feed.direct-feed),Titre à la une + chapô,.direct-feed .category-article.featured h2/p,CategoryHubFeed,CONFORME,"re-mesuré directement (extract_full.js, viewport 1280) : identique à la maquette"
VS.10,VS-02 Flux (.category-feed.direct-feed),Meta à la une (date/vues),.hub-entry-meta,.v2-category-hub-feed .hub-entry-meta,CONFORME,"re-mesuré directement (extract_full.js, viewport 1280) : identique à la maquette"
VS.11,VS-02 Flux (.category-feed.direct-feed),Carte standard unique,.direct-feed .category-article:not(.featured),CategoryHubFeed (standard),CONFORME,"re-mesuré directement (extract_full.js, viewport 1280) : identique à la maquette"
VS.12,VS-02 Flux (.category-feed.direct-feed),Pagination — absence prévue par la maquette,"absente (2 articles seulement, 1 seule page)",Pagination (composant partagé),CONFORME,"BUG RÉEL CORRIGÉ : la pagination s'affichait quand même (condition total>0 au lieu de total>PER_PAGE) alors que la maquette n'en a aucune avec seulement 2 articles — contrairement à Que dit la Bible (6 articles/2 pages), qui en affiche une à juste titre. Corrigé localement dans la page (total>PER_PAGE), jamais dans le composant Pagination partagé (qui reste inchangé, donc sans risque pour ses autres usages) ; même correction appliquée par cohérence à Que dit la Bible et au hub Publications"
