identifiant,section,element,selecteur_maquette,correspondant_v2,statut,note
PN.001,SOURCE MAQUETTE / GABARIT V2,Identification — Panier (/panier),prototype-html/panier/index.html + commerce.css,site/src/app/(site)/panier/page.tsx,CORRIGÉ,"Cartographie directe depuis la source (6 SECTION : Header partagé / Hero utilitaire / Panneau commande / Récapitulatif / Dialogue de paiement (démonstration maquette uniquement) / Footer partagé). Chaîne données/fonctions vérifiée réelle avant toute correction : carts -> cart_items (jointure books/goodies) -> quantité -> prix -> sous-total (cartSubtotalCents) -> livraison (placeholder ""étape suivante"", calculée réellement par Stripe) -> total -> createCartCheckoutSession (Stripe réel). Aucune DONNÉE/FONCTION MANQUANTE : toutes les données affichées par la maquette existent et sont alimentées réellement. Testé en direct sur le panier réel de l'utilisateur (2 livres) : ajout/retrait de quantité et badge Header vérifiés fonctionnels, aucun paiement Stripe déclenché."
PN.002,[SECTION 01] Header,Composant partagé Header.tsx,header.site-header,"Header.tsx (composant partagé, non modifié)",CONFORME,"COMPOSANT PARTAGÉ, HORS PÉRIMÈTRE PANIER — déjà certifié sur d'autres pages. Vérifié : le badge panier (.v2-cart-count) reflète le nombre réel d'articles (2), confirmé en direct après ajout/retrait. Le network-bar de cette page maquette diffère de la fiche Livre (lien ""Serge Hapita Ministries"" vers / au lieu du CTA newsletter) — contenu spécifique à la page, porté par le composant partagé existant sans modification nécessaire."
PN.003,[SECTION 02] Hero utilitaire,Conteneur section (fond sombre),".utility-hero (rect 0,129,1280,282 ; bg #17142d ; padding-block:54px)",".v2-utility-hero (rect 0,127,1280,242 ; mêmes valeurs)",CORRIGÉ (hérité),Hauteur corrigée indirectement par le correctif de police de page (242px après correction contre un rendu Manrope plus compact avant — écart résiduel de quelques px = variance globale déjà connue du header).
PN.004,[SECTION 02] Hero utilitaire,"<p class=""eyebrow""> ""Votre sélection""",".eyebrow.light (rect 80,193,1120,21 ; Inter 13px/780, tracking 2.34px, violet clair)",".v2-eyebrow.light (rect 80,191,1120,16 ; mêmes valeurs)",CONFORME,Remesuré identique (police/couleur/tracking) — déjà conforme avant ce lot.
PN.005,[SECTION 02] Hero utilitaire,<h1> Mon panier,"h1 (rect 80,214,1120,107 ; Georgia clamp(45px,6vw,67px)/500 ; tracking -2.345px)","h1 (rect 80,212,1120,107 après correction ; mêmes valeurs)",CORRIGÉ,ÉCART DE STYLE MAJEUR RÉEL DÉCOUVERT PAR LE BALAYAGE EXHAUSTIF DÉDIÉ : .v2-panier-page n'avait jamais reçu le correctif de police de page déjà appliqué à TOUTES les autres pages du site (.v2-product-page/.v2-ds-page/.v2-cj-page/...) — héritait à tort de body{font-family:Manrope;-webkit-font-smoothing:antialiased} (sans line-height) au lieu d'Inter/line-height:1.6/smoothing:auto. Corrigé (ajout de la règle standard sur .v2-panier-page). Remesuré : hauteur 107px identique au pixel à la maquette (était 76px avant correction).
PN.006,[SECTION 02] Hero utilitaire,"<p> intro (""Vérifiez votre commande…"")",p (couleur blanc/66%),p (mêmes valeurs après correction de police),CONFORME,Remesuré identique après correction du bug de police de page.
PN.007,[SECTION 03] Panneau commande,Conteneur .cart-panel — ABSENT V2 avant correction,".cart-panel (bordé, radius 12px, bg blanc) contenant l'en-tête + la liste",— (absent avant correction),CORRIGÉ,"ÉCART DE STRUCTURE MAJEUR RÉEL DÉCOUVERT PAR LE BALAYAGE EXHAUSTIF DÉDIÉ : la maquette regroupe TOUS les articles dans un panneau unique avec un en-tête partagé (voir PN.007) — ce panneau était intégralement absent, chaque article de la V2 étant une carte indépendante avec sa propre bordure/radius/fond/marge. Corrigé : ajout de .cart-panel enveloppant .cart-panel-head + .cart-items. Vérifié en direct sur le panier réel (2 livres) : les articles apparaissent désormais comme des lignes d'un même panneau, séparées par un filet, dernier sans filet."
PN.008,[SECTION 03] Panneau commande,"En-tête panneau (""Votre commande"" + compteur) — ABSENT V2 avant correction","h2 ""Votre commande"" + span compteur (§ .cart-panel-head, padding 22px 25px, filet inférieur)",— (absent avant correction),CORRIGÉ,"Élément entièrement manquant, découvert par le balayage exhaustif dédié. Ajouté avec un compteur RÉEL (somme des quantités réelles du panier, pas une valeur statique) — vérifié en direct : affiche ""2 articles"" pour le panier réel de test."
PN.009,[SECTION 03] Panneau commande,Conteneur .cart-items (padding),.cart-items (padding:0 25px),.cart-items (mêmes valeurs après correction),CORRIGÉ,Ajouté avec le panneau (PN.006).
PN.010,[SECTION 03] Panneau commande,<div class=cart-item> — séparation par filet,".cart-item (grid 82px/1fr/auto, gap 18px, padding-block 23px, border-bottom, dernier sans filet)",.cart-item (mêmes valeurs après correction — bordure/radius/fond/marge individuels retirés),CORRIGÉ,Chaque article portait auparavant sa propre bordure/radius/fond/marge (carte indépendante) au lieu d'être une ligne du panneau séparée par un simple filet. Corrigé. Grille interne (82px/1fr/auto) déjà conforme avant ce lot.
