identifiant,section,element,selecteur_maquette,correspondant_v2,structure,contenu,composition,style,statut_global,note
JC.01,JC-S1 Hero verset (.jc-hero),"Bloc entier — présence/ordre (h1=verset+cite, badge, date, meta)",.rm-hero.confess-hero,.v2-jc-hero,CONFORME,CONFORME,CONFORME,CONFORME,CONFORME,"860×~, x=210 identiques — contrôlé indépendamment de Rosée Matinale"
JC.02,JC-S1 Hero verset (.jc-hero),Badge « Je Confesse »,.category-badge.badge-confess,.v2-jc-badge,CONFORME,CONFORME,CONFORME,CONFORME,CONFORME,"déjà correctement stylé (pastille), reconfirmé — contrairement au badge de Rosée Matinale, ce n'était pas un bug ici"
JC.03,JC-S1 Hero verset (.jc-hero),H1 = verset cité (Proverbes 18:20),.rm-hero h1 + cite,.v2-jc-hero h1 + cite,CONFORME,CONFORME,CONFORME,CONFORME,CONFORME,"36.5px/600 ; cite 20.075px/600/rgba(255,255,255,.62) identiques"
JC.04,JC-S2 Corps + signature (ordre corps → signature),Colonne de texte — largeur réelle (héritée de la correction Rosée Matinale),".entry-body : 790px, sans padding supplémentaire",.v2-jc-body-html (ex-.wrap),CONFORME,CONFORME,CONFORME,CONFORME,CONFORME,"même correction que Rosée Matinale (classe .wrap ancienne retirée, maxWidth inline 790px) — recontrôlée indépendamment ici, pas seulement supposée identique : 790px/x=245 confirmé"
JC.05,JC-S2 Corps + signature (ordre corps → signature),"Signature de clôture (Romains 10:10), APRÈS le corps",.rm-chapeau.confess-chapeau.confess-signature,.v2-jc-chapeau,CONFORME,CONFORME,CONFORME,CONFORME,CONFORME,ordre corps→signature vérifié dans le DOM réel
JC.06,JC-S3 Actions,Bouton J'aime,.like-button (texte statique),LikeButton (compteur réel),CONFORME,CONFORME,CONFORME,CONTRÔLE MANUEL,CONTRÔLE MANUEL REQUIS,même écart fonctionnel documenté que Rosée Matinale
JC.07,JC-S3 Actions,Navigation jour précédent/suivant + archive — géométrie,.rm-nav-days (790px),.v2-jc-page .rm-nav-days,CONFORME,CONTRÔLE MANUEL,CONFORME,CONFORME,CONTRÔLE MANUEL REQUIS,"géométrie corrigée (héritée de JC.04) ; microcopy toujours différente, même réserve que Rosée Matinale"
JC.08,JC-S4 Section absente,Version audio de la proclamation (.confession-audio),.confession-audio,ABSENTE,ABSENT V2,ABSENT V2,ABSENT V2,ABSENT V2,ABSENT V2,"maintenue en ABSENT V2 conformément à l'instruction explicite — non implémentée, décision à prendre séparément"
JC.09,JC-S5 Zone de partage,Habillage complet + police réelle (héritée de la correction Rosée Matinale),.share-zone/.share-invite (Inter 16px/800),.v2-jc-page .share-zone/.share-invite,CONFORME,CONFORME,CONFORME,CONFORME,CONFORME,"recontrôlé indépendamment (font-family Inter confirmé, pas supposé) ; texte d'invite propre à cette rubrique (« ...cette proclamation. ») affiché correctement"
JC.10,JC-S6 Articles liés + archive,"Grille articles liés — géométrie réelle (1180px, héritée de la correction Rosée Matinale)",".related-grid (x=50, w=1180)",.v2-jc-page .related-articles .related-grid,CONFORME,CONFORME,CONFORME,CONFORME,CONFORME,recontrôlée indépendamment : 1180px/x=50 confirmé
JC.11,JC-S6 Articles liés + archive,Titre « Confessions précédentes »,.archive-section h2 (texte propre à cette rubrique),.v2-jc-page .rm-archive h2,CONFORME,CONFORME,CONFORME,CONFORME,CONFORME,"texte et style vérifiés propres à Je Confesse, pas une copie de « Rosées matinales précédentes »"
JC.12,JC-S6 Articles liés + archive,Liste d'archive — présence conditionnelle,absente si aucune entrée précédente,message « Ceci est la toute première proclamation... »,CONFORME,CONFORME,CONFORME,CONFORME,CONFORME,"un seul article publié actuellement : message honnête affiché, pas de grille vide fabriquée"
JC.13,JC-S1 Hero verset (.jc-hero),Hauteur/padding du hero,".rm-hero : min-height 560px, padding 80px 0",.v2-jc-hero,CONFORME,CONFORME,CONFORME,CONFORME,CONFORME,"ÉCART RÉEL CORRIGÉ (validation humaine) : min-height 420px/padding 70px (valeurs inventées, ne correspondant à aucune règle maquette) au lieu de 560px/80px (règle de base .rm-hero, partagée avec Rosée Matinale). Re-mesuré : 560px identique."
JC.14,JC-S1 Métadonnées du Hero,Ordre temps de lecture / vues,".rm-hero-meta : « X min de lecture » PUIS « Y vues », texte nu","ArticleMeta (composant partagé, corrigé avec Rosée Matinale)",CONFORME,CONFORME,CONFORME,CONFORME,CONFORME,"ÉCART RÉEL CORRIGÉ : ordre inversé (vues avec icône, puis « · », puis temps de lecture) — corrigé dans le composant partagé ArticleMeta, vérifié RÉELLEMENT sur cette route (pas par analogie) : ordre et absence d'icône/séparateur confirmés identiques à la maquette après correction."
JC.15,JC-S1 Badge « Je Confesse »,Habillage pastille (conteneur arrondi coloré),".category-badge.badge-confess : inline-flex, padding 5px 10px, border-radius 999px, fond #ded3fa, texte violet-deep",.v2-jc-badge,CONFORME,CONFORME,CONFORME,CONFORME,CONFORME,"BUG RÉEL MAJEUR CORRIGÉ : le badge était rendu en texte nu (display:block, sans fond, sans padding, sans arrondi, couleur blanche 24px) — l'habillage pastille de la maquette manquait entièrement, contrairement à ce qu'un contrôle précédent avait supposé. Corrigé : pastille lavande/rose (#ded3fa) avec texte violet-deep, arrondi 999px, padding 5px 10px — re-mesuré 165×48, identique en forme à la maquette."
JC.16,JC-S2 Signature de clôture (.jc-chapeau),Bordures haut/bas,".confess-signature : border-top/border-bottom 1px rgba(79,37,216,.12)",.v2-jc-chapeau,CONFORME,CONFORME,CONFORME,CONFORME,CONFORME,"corrigé : bordures absentes, ajoutées — fond #f3edff déjà correct par ailleurs"
JC.17,"JC-S6 Articles liés (composant partagé, vérifié indépendamment)",Hauteur égale des cartes,".related-card : min-height 240px, flex column, troncature 4 lignes",".v2-jc-page .related-card (via RelatedArticlesSection, corrigé avec Rosée Matinale)",CONFORME,CONFORME,CONFORME,CONFORME,CONFORME,"vérifié RÉELLEMENT sur la route Je Confesse (pas par analogie) : 3 cartes mesurées à 319px, hauteur identique, comme sur Rosée Matinale — le composant partagé se comporte correctement dans ce contexte aussi"
JC.18,JC-S6 Fond (.related-section + .archive-section),Fond continu unique,#f4f1ff pour les deux zones,".v2-jc-page .related-articles / .rm-archive (corrigé avec Rosée Matinale, classe .v2-rm-page partagée)",CONFORME,CONFORME,CONFORME,CONFORME,CONFORME,"vérifié RÉELLEMENT sur la route Je Confesse : rgb(244,241,255)=#f4f1ff confirmé sur l'archive, identique au fond des articles liés — aucune différence constatée, rien à modifier de plus ici"
JC.19,JC-S4 Version audio (.confession-audio),Présence — section absente à tort (invalide JC.08),".confession-audio : icône ronde ▶, « Version audio », « Écouter cette proclamation », sous-texte, CTA « Découvrir la série → » vers /podcast/#je-confesse",.v2-jc-audio (restaurée),CONFORME,CONFORME,CONFORME,CONFORME,CONFORME,"ÉCART RÉEL CORRIGÉ, invalide JC.08 : la section était omise au motif que /podcast/ n'existait pas encore (Lot 9) — la route existe désormais (bibliothèque + fiche épisode avec lecteur <audio controls> réel). Restaurée à l'identique de la maquette (grille 58px/1fr/auto, icône 54px, fond #1d1830) ; le lien pointe vers /podcast?univers=jc (le vrai filtre par univers de la bibliothèque — /podcast n'a pas de sections ancrées par id, donc pas d'équivalent DOM à l'ancre #je-confesse de la maquette, mais une destination réellement fonctionnelle, jamais un lecteur statique factice). Bug de couleur trouvé et corrigé en cours de route : le h2 héritait à tort de la couleur d'encre par défaut (h1,h2,h3,h4{color:var(--ink)}) au lieu du blanc de la section — couleur explicite ajoutée, re-mesurée #fff."
JC.20,JC-S5 Zone de partage,Texte d'invitation (invalide JC.09),.share-invite : « Bénis quelqu'un en partageant ce message. » (identique à Rosée Matinale),SHARE_BLOCK_INVITE.jc,CONFORME,CONFORME,CONFORME,CONFORME,CONFORME,"BUG RÉEL CORRIGÉ, invalide JC.09 : un audit précédent avait déclaré ce texte CONFORME sans le comparer littéralement au HTML source — la maquette écrit bien « ce message », pas « cette proclamation » (formulation propre ajoutée lors de la construction Lot 4, jamais validée comme exception). Recontrôlé réellement sur la route Je Confesse après réintégration de la section Audio juste au-dessus : position relative correcte (audio → partage → articles liés), aucun autre écart trouvé sur cette section (police Inter 16px/800/blanc, fond violet #7b3fe4, largeur 790px — tous déjà conformes)."
JC.21,JC-S7 Fin de page — navigation Précédent/Suivant,"Libellés (bloc JSX propre à Je Confesse, pas un composant partagé)",.rm-nav-days : « ← Précédent » / « Voir les archives » / « Suivant → »,JeConfesseContent.tsx (bloc dédié),CONFORME,CONFORME,CONFORME,CONFORME,CONFORME,"ÉCART RÉEL CORRIGÉ : la V2 affichait « ← Jour précédent » / « Voir l'archive ↓ » / « Jour suivant → », repris par analogie de Rosée Matinale lors de la construction Lot 4 sans comparaison mot pour mot à la maquette propre à Je Confesse (qui n'écrit ni « Jour », ni la flèche ↓, et met « archives » au pluriel). Ce bloc n'est pas un composant partagé (JSX propre à chaque page) : corrigé uniquement ici, Rosée Matinale reste intouchable et inchangée ce tour-ci — vérifié après coup (RM.textContent inchangé)."
JC.22,JC-S7 Fin de page — archive (.confession-archive),Texte d'intro de l'archive,.archive-intro : « Retrouve les confessions des jours précédents. »,JeConfesseContent.tsx,CONFORME,CONFORME,CONFORME,CONFORME,CONFORME,"ÉCART RÉEL CORRIGÉ : la V2 affichait « Retrouve les proclamations des jours précédents. » — la maquette écrit littéralement « confessions » ici (incohérence interne à la maquette elle-même, qui emploie « proclamation » dans la section Audio juste au-dessus : reproduite telle quelle section par section, jamais harmonisée par nous-mêmes). Le contenu réel des lignes d'archive (extrait du vrai corps de chaque confession, pas le libellé générique « Confession du [date] » que la maquette statique utilise faute de vrai contenu pour ses 3 exemples) est volontairement conservé : cohérent avec la convention déjà validée sur l'archive Rosée Matinale (RM.19-24), qui affiche elle aussi le vrai texte plutôt qu'un libellé fabriqué — pas un contenu en dur."
JC.23,JC-S7 Fin de page — STRUCTURE exhaustive,"Blocs présents/absents, ordre",confession-actions-section(like+nav) → confession-audio → share-zone → related-section → archive-section,section(like+nav) → v2-jc-audio → share-zone → RelatedArticlesSection → rm-archive,CONFORME,CONFORME,CONFORME,CONFORME,CONFORME,"Recontrôle exhaustif (getBoundingClientRect().top sur les 4 sections, valeurs croissantes confirmées : 1868→1970→2111→2351 à 1280px) : aucun bloc supplémentaire V2 trouvé après le partage (les « séparateurs/tirets hérités de l'ancien site » signalés ne correspondaient à aucun élément DOM distinct une fois l'audio restaurée — probablement l'effet visuel du bloc nav-days directement accolé au partage, sans section audio entre les deux, avant cette correction) ; aucun bloc de la maquette manquant. Ordre identique à la maquette."
