identifiant,section,element,selecteur_maquette,correspondant_v2,statut,note
VID.000,CARTOGRAPHIE,SOURCE,maquettes-complementaires-shm/videos.html,src/app/(site)/videos/page.tsx + VideoGrid.tsx + lib/content/videos.ts,INFO,"getVideos()/VideoGrid.tsx existaient déjà, complets et fonctionnels (filtres par catégorie, modale YouTube réelle), mais jamais branchés sur la page (retour du 05/09 : page volontairement remplacée par un message d'attente). Vérifié : la table videos est actuellement VIDE en production (0 ligne active) — DONNÉE MANQUANTE de fait, pas d'écart de code."
VID.001,SECTION 01 - Hero,Conteneur (fond violet foncé),.video-hero,.v2-video-hero (AJOUTÉ),ABSENT_V2_CORRIGE,"Ancienne page utilisait .util-hero (dégradé bleu/violet générique, partagé avec Je Confesse/Rosée Matinale — non touché, hors périmètre). Nouvelle classe dédiée, aucun composant partagé modifié."
VID.001b,SECTION 01 - Hero,Largeur du conteneur intérieur,".wrap{width:min(1180px,calc(100% - 64px))}",".v2-complementary-wrap (AJOUTÉ, 1180px — jamais .v2-commerce-wrap, 1120px)",ECART_CORRIGE,"Cette maquette (comme confirmation-standard/paiement, même famille maquettes-complementaires-shm) déclare 1180px, différent des 1120px de .v2-commerce-wrap déjà établi ailleurs sur le site. Nouvelle classe dédiée créée plutôt que réutiliser .v2-commerce-wrap à tort. SIGNALÉ : /confirmation (chantier précédent, déjà livré) utilise .v2-commerce-wrap malgré la même maquette déclarant 1180px — écart non corrigé ici (hors périmètre de ce chantier, aucune autre page ne doit être touchée), à traiter dans une reprise dédiée à /confirmation si souhaité."
VID.002,SECTION 01 - Hero,Eyebrow + titre + texte,"eyebrow ""Médias"" / h1 ""Vidéos"" / p",.v2-video-hero (contenu réel identique),CONFORME,Texte statique légitime (générique, pas éditorial par vidéo).
VID.010,SECTION 02 - Liste vidéos,En-tête de section,"eyebrow ""À regarder"" / h2 ""Dernières vidéos""",.v2-video-head (AJOUTÉ),ABSENT_V2_CORRIGE,Absent de l'ancienne page (message d'attente uniquement).
VID.011,SECTION 02 - Liste vidéos,Filtres par catégorie,(absent de la maquette — fonction réelle du site dépassant la démo à 3 cartes),.v2-video-filters (VideoGrid, préservé),CONFORME_FONCTION_PRESERVEE,"La maquette ne montre qu'une grille statique à 3 cartes, sans filtre — mais VideoGrid.tsx dispose déjà d'un vrai filtrage par catégorie (Prédications/Enseignements/Témoignages), fonction réelle utile préservée et stylée dans le langage de cette page (pilules, cohérent avec les autres filtres du site)."
VID.012,SECTION 02 - Liste vidéos,Grille (3 colonnes/gap),.grid,.v2-video-grid (remplace .vid-grid, legacy pré-V2),ECART_CORRIGE,Renommé et réaligné sur les valeurs réelles de la maquette (repeat(3,1fr), gap 22px).
VID.013,SECTION 02 - Liste vidéos,Carte (bordure/radius),.card,.v2-video-card (remplace .vid-card),ECART_CORRIGE,Renommé et réaligné (border 1px var(--line), radius 10px — la version legacy avait 14px et un effet de survol non prévu par la maquette).
VID.014,SECTION 02 - Liste vidéos,Vignette (dégradé + icône lecture),".thumb (dégradé fixe 135deg #2a1857→#6d31f2, ▶ 35px centré, sans cercle)",".v2-video-thumb (remplace .vid-thumb : 3 dégradés différents par catégorie + bouton ▶ rond violet 52px)",ECART_CORRIGE,"La maquette utilise UN SEUL dégradé pour toutes les vignettes (aucune variation par catégorie) et un simple glyphe ▶ sans cercle — reconstruit à l'identique. La distinction de catégorie reste portée par l'étiquette texte (.v2-video-cat-tag), donnée réelle, non perdue."
VID.015,SECTION 02 - Liste vidéos,Corps de carte (eyebrow + titre + texte),.card-body (eyebrow/h3 serif/p),.v2-video-body (remplace .vid-body),ECART_CORRIGE,"Reconstruit avec la vraie hiérarchie de la maquette (eyebrow catégorie au-dessus du titre, jamais en superposition sur la vignette comme avant) ; titre/description = données réelles (video.title/video.description)."
VID.016,SECTION 02 - Liste vidéos,État vide (aucune vidéo réelle),(absent de la maquette — aucun exemple ""zéro vidéo""),Cartes ""Titre à venir""/""Description à venir"" fabriquées pour compléter chaque catégorie à 2 emplacements minimum (AVANT correction),FONCTION_RETIREE_DONNEE_FABRIQUEE,"La table videos est actuellement VIDE (0 ligne) — le remplissage automatique par cartes fictives (MIN_SLOTS_PER_CATEGORY=2) afficherait alors 6 cartes ""à venir"" comme SEUL contenu réel de la page, une donnée fabriquée présentée comme production. Retiré : si aucune vidéo réelle n'existe pour une catégorie (ou aucune au global), rien n'est fabriqué — message générique honnête à la place (cohérent avec le traitement déjà appliqué ailleurs sur le site, ex. Hub Boutique)."
VID.020,SECTION 03 - Composants partagés,Header,.header (illustratif),Header.tsx (composant réel, via (site)/layout.tsx),HORS_PERIMETRE,Non reconstruit.
VID.021,SECTION 03 - Composants partagés,Newsletter,(ABSENTE de cette maquette),Newsletter.tsx (présente dans l'ancienne version placeholder),ECART_CORRIGE,"La nouvelle maquette ne comporte aucune section newsletter entre la grille et le pied de page — retirée, conformément à ""les maquettes définissent l'interface""."
VID.022,SECTION 03 - Composants partagés,Footer,.footer (illustratif),Footer.tsx (composant réel),HORS_PERIMETRE,Non reconstruit.
