identifiant,section,element,selecteur_maquette,correspondant_v2,statut,note
MC.000,CARTOGRAPHIE,SOURCE,prototype-html/mon-compte/index.html (35 lignes ; 5 onglets),src/app/(site)/mon-compte/page.tsx + DashTabs.tsx + ProfileForm.tsx,INFO,"DashTabs.tsx utilisait un système de classes ENTIÈREMENT différent (.dash-layout/.dash-nav/.dash-section/.dash-welcome/.empty-state/.access-card/.vs-library), jamais aligné sur les vraies classes de la maquette (.dashboard-grid/.dashboard-tabs/.dashboard-panel/.dashboard-empty) — un CSS scopé (.v2-dashboard-page .dash-*) approximait certaines valeurs SANS jamais renommer vers les classes réelles ni reproduire les états vides à icône de la maquette."
MC.001,SECTION 01 - En-tête,Eyebrow + titre + sous-titre,.dashboard-head > div (eyebrow/h1/p),.v2-dashboard-head (déjà en place),CONFORME,Classe déjà correcte et déjà alignée sur les valeurs maquette.
MC.002,SECTION 01 - En-tête,Lien « Se déconnecter »,.dashboard-head > a (position : à droite de l'en-tête),bouton « Se déconnecter » (AVANT : dans .dash-nav, en bas de la barre d'onglets),ECART_CORRIGE,"Fonction réelle (supabase.auth.signOut) préservée à l'identique, seule sa POSITION dans le DOM était fausse (bas de la nav latérale au lieu de l'en-tête). Extrait dans un composant dédié SignOutLink.tsx, rendu dans dashboard-head comme la maquette."
MC.010,SECTION 02 - Grille,Conteneur (colonnes 235px/1fr),.dashboard-grid,.dash-layout (AVANT, mêmes valeurs mais mauvais nom + enveloppé à tort dans .wrap, un conteneur non prévu par la maquette ici),ECART_CORRIGE,"Renommé .dashboard-grid ; le <div class=""wrap""> superflu (double contrainte de largeur avec .v2-commerce-wrap du parent) retiré."
MC.020,SECTION 02 - Grille,Barre d'onglets (nav latérale),.dashboard-tabs (role=tablist, 5 boutons, sticky),.dash-nav (AVANT, <a> cliquables + bouton déconnexion mêlé),ECART_CORRIGE,"Renommé .dashboard-tabs ; les 5 onglets deviennent des <button role=""tab" "aria-selected> (comme la maquette, jamais des <a href=""#"">) ; bouton de déconnexion retiré de cette zone (voir MC.002)."
MC.030,SECTION 03 - Onglet Aperçu,Panneau (conteneur),.dashboard-panel#dashboard-overview,.dash-section (AVANT),ECART_CORRIGE,Renommé .dashboard-panel.
MC.031,SECTION 03 - Onglet Aperçu,Titre + texte,"h2 ""Bonjour."" + p ""Votre espace rassemble...""","h2 ""Aperçu"" + bandeau .dash-welcome séparé ""Bonjour {prénom}, ravis de vous revoir"" (AVANT)",ECART_CORRIGE,"La maquette n'a qu'UN SEUL message d'accueil (le H2 lui-même) — le bandeau .dash-welcome n'existe nulle part dans la maquette (composant inventé). Fusionné : le H2 porte désormais la personnalisation réelle (""Bonjour, {prénom}."" ou ""Bonjour."" si aucun prénom), fonction réelle préservée, structure alignée sur la maquette."
MC.032,SECTION 03 - Onglet Aperçu,État vide (aucune commande),".dashboard-empty (icône silhouette + ""Votre espace est prêt."" + p + lien ""Découvrir les livres →"")",".empty-state (AVANT, simple paragraphe texte avec liens inline, sans icône ni encadré)",ECART_CORRIGE,Reconstruit à l'identique (icône SVG réelle de la maquette + encadré pointillé + lien).
MC.033,SECTION 03 - Onglet Aperçu,État avec donnée (commande récente),(absent de la maquette — fonction réelle du site dépassant la démo),.order-row (ligne compacte : articles + statut réel),CONFORME_FONCTION_PRESERVEE,"Aucun exemple ""avec commande"" dans la maquette pour cet onglet — fonction réelle (aperçu de la dernière commande) préservée, présentée avec le même style de ligne (.order-row) déjà utilisé et cohérent avec l'onglet Mes commandes."
MC.040,SECTION 04 - Onglet Mes commandes,Panneau + titre + texte,".dashboard-panel#dashboard-orders, h2 ""Mes commandes"", p",.dash-section (AVANT),ECART_CORRIGE,Renommé .dashboard-panel ; titre/texte déjà identiques au contenu réel.
