identifiant,section,element,selecteur_maquette,correspondant_v2,statut,note
CJ.01,CJ-01 Hero,"Conteneur cj-hero (dégradé, orbites)",.cj-hero,.v2-cj-hero,CONFORME,re-mesuré directement : identique à la maquette (1280×650)
CJ.02,CJ-01 Hero,cj-hero-inner — layout,.cj-hero-inner,.v2-cj-hero-inner,CONFORME,re-mesuré directement : identique à la maquette (1180×648)
CJ.03,CJ-01 Hero,Orbite décorative 1,.cj-orbit.one,.v2-cj-orbit.one,CONFORME,règle CSS identique lue directement dans le code
CJ.04,CJ-01 Hero,Orbite décorative 2,.cj-orbit.two,.v2-cj-orbit.two,CONFORME,règle CSS identique lue directement dans le code
CJ.05,CJ-01 Hero,Eyebrow « Découvrez celui qui donne la vie »,.cj-hero-inner .eyebrow.light,.v2-cj-hero-inner .v2-eyebrow.light,CONFORME,"corrigé : line-height 1.6 et couleur (--v2-ink) restaurés via .v2-cj-page (manquants sur tout le wrapper de page, cascade de la maquette body{line-height:1.6} absente) (héritage de .v2-cj-page)"
CJ.06,CJ-01 Hero,H1 « Connaître »,.cj-hero h1,.v2-cj-hero h1,CONFORME,"re-mesuré directement : identique à la maquette (Fraunces, clamp 78-154px, line-height .77)"
CJ.07,CJ-01 Hero,"H1 — em « Jésus » (italique, décalé)",.cj-hero h1 em,.v2-cj-hero h1 em,CONFORME,"corrigé : font-style:normal retiré de .v2-cj-hero h1 em — la maquette ne fixe rien sur cet <em> et le laisse hériter de l'italique par défaut du tag — re-mesuré : italic/rgb(212,196,255) des deux côtés"
CJ.08,CJ-01 Hero,Paragraphe « Une histoire incroyable… »,.cj-hero-inner > p,.v2-cj-hero-inner > p,CONFORME,"corrigé : line-height 1.6 et couleur (--v2-ink) restaurés via .v2-cj-page (manquants sur tout le wrapper de page, cascade de la maquette body{line-height:1.6} absente)"
CJ.09,CJ-01 Hero,Lien « Commencer le parcours ↓ »,.cj-scroll,.v2-cj-scroll,CONFORME,re-mesuré directement : identique à la maquette ; survol vérifié identique par lecture directe de la règle CSS
CJ.10,CJ-02 Sous-navigation (sticky),Barre cj-subnav (position sticky),.cj-subnav,.v2-cj-subnav,CONFORME,"re-mesuré directement : identique à la maquette (1280×64, sticky top:0)"
CJ.11,CJ-02 Sous-navigation (sticky),Lien « Son histoire »,.cj-subnav a:nth-child(1),.v2-cj-subnav a:nth-child(1),CONFORME,"corrigé : line-height 1.6 et couleur (--v2-ink) restaurés via .v2-cj-page (manquants sur tout le wrapper de page, cascade de la maquette body{line-height:1.6} absente)"
CJ.12,CJ-02 Sous-navigation (sticky),Lien « Pourquoi il est venu »,.cj-subnav a:nth-child(2),.v2-cj-subnav a:nth-child(2),CONFORME,re-mesuré directement : identique à la maquette
CJ.13,CJ-02 Sous-navigation (sticky),Lien « Le découvrir »,.cj-subnav a:nth-child(3),.v2-cj-subnav a:nth-child(3),CONFORME,re-mesuré directement : identique à la maquette
CJ.14,CJ-02 Sous-navigation (sticky),Lien « Recevoir Jésus »,.cj-subnav a:nth-child(4),.v2-cj-subnav a:nth-child(4),CONFORME,re-mesuré directement : identique à la maquette
CJ.15,CJ-03 Son histoire (récit + vidéo + parcours),Eyebrow « Le récit intégral »,.cj-story-heading .eyebrow,.v2-cj-story-heading .v2-eyebrow,CONFORME,"corrigé : line-height 1.6 et couleur (--v2-ink) restaurés via .v2-cj-page (manquants sur tout le wrapper de page, cascade de la maquette body{line-height:1.6} absente)"
CJ.16,CJ-03 Son histoire (récit + vidéo + parcours),H2 « Qui est cet homme appelé Jésus ? »,.cj-story-heading h2,.v2-cj-story-heading h2,CONFORME,"corrigé : color:var(--v2-ink) ajouté localement — la règle globale h1,h2,h3,h4{color:var(--ink)} (ancien token, propre à V2, absente de la maquette) l'emportait sur l'héritage du wrapper de page (72px, letter-spacing -.04em déjà correct)"
