identifiant,section,element,selecteur_maquette,correspondant_v2,structure,contenu,composition,style,statut_global,note
QA.01,[SECTION 01] Hero (.entry-hero),Conteneur + kicker + titre + chapeau + métadonnées,.entry-hero/.wrap/.entry-kicker/.feed-badge/.entry-type/h1/.entry-chapeau/.entry-meta,.v2-article-page.qdlb .article-header/.content-col/.article-kicker/.article-cat-badge/.article-type/.article-title/.article-chapeau/.article-meta-line,CONFORME,CONFORME,CONFORME,CONFORME,CONFORME,"BUGS RÉELS CORRIGÉS : (1) conteneur du héros à 760px (.content-col générique, partagé à tort avec le corps) au lieu du .wrap pleine largeur (1180px) de la maquette — x=260 mesuré au lieu de x=50 ; scopé .qdlb, largeur du héros distincte de celle du corps (790px, .entry-body). (2) padding de la section 84px 0 70px au lieu de 86px 0 74px. (3) date du jour de la semaine en minuscule (« lundi ») au lieu d'une majuscule (« Lundi »), corrigée localement (capitalizeFirst, propre à cette route). Reste (badge, type, h1, chapeau, ordre des métadonnées) déjà conforme, revérifié réellement."
QA.02,[SECTION 02] Corps éditorial — citation d'ouverture,Référence + citation encadrée,.scripture-card/strong/blockquote,.v2-article-page.qdlb .scripture-card/strong/blockquote (renommé de .verse-box/div.ref/p),CONFORME,CONFORME,CONFORME,CONFORME,CONFORME,"ÉCART STRUCTUREL RÉEL CORRIGÉ : la V2 utilisait un div générique + <p> (classe ""verse-box"", vérifié : utilisée nulle part ailleurs) au lieu de <strong>+<blockquote> (""scripture-card"", sémantique de citation). Écarts de composition/style aussi corrigés : fond #f1edff (pas #eee8ff), padding 34px 38px (pas 30px 34px), margin 15px 0 44px (pas 0 0 44px), radius 0 14 14 0 (pas 0 12 12 0)."
QA.03,[SECTION 02] Corps éditorial — titre de section,h2 « Parlons-en »,.entry-body h2,.v2-article-page .article-body h2,CONFORME,CONFORME,CONFORME,CONFORME,CONFORME,"BUG RÉEL CORRIGÉ : margin 48px 0 22px (hérité, aucune valeur propre déclarée) au lieu de 62px 0 22px."
QA.04,[SECTION 02] Corps éditorial — corps de texte + citation en exergue,Paragraphes + .pull-sentence (figure RichTextEditor),.entry-body>p/.pull-sentence,.v2-article-page .article-body .body-html>p/figure,CONFORME,CONFORME,CONFORME,CONFORME,CONFORME,"Déjà conforme, revérifié réellement (Georgia 19px/1.9 pour les paragraphes ; figure : fond encre, texte blanc 26px/1.5, débord 70px, padding 38px 70px, margin 45px -70px — identique à la maquette)."
QA.05,[SECTION 02] Corps éditorial — bénédiction de clôture,"<p class=""article-blessing"">",.article-blessing,.v2-article-page .blessing,CONFORME,CONFORME,CONFORME,CONFORME,CONFORME,"BUG RÉEL MAJEUR CORRIGÉ, invalide une décision précédente : la maquette colore ce texte en violet-deep (#4f25d8) — un commentaire antérieur affirmait à tort l'inverse (""jamais violet"") sans avoir remesuré le rendu réel, et appliquait la couleur encre. Héritait aussi à tort d'une règle .blessing pré-V2 non scopée (centré, padding-top 36px + filet, margin-top 52px) totalement absente de la maquette (simple <p> aligné à gauche, margin-top 44px seul). Tout réinitialisé (text-align, padding, border, margin) et couleur corrigée."
QA.06,[SECTION 02] Corps éditorial — thématiques,Conteneur .article-topics + .topic-list (chips),.article-topics/.topic-list/.topic-list span,.v2-article-page .article-topics/.chip-row/.chip (conteneur article-topics ajouté),CONFORME,CONFORME,CONFORME,CONFORME,CONFORME,"ÉCARTS RÉELS CORRIGÉS : (1) STRUCTURE — aucun conteneur équivalent à .article-topics n'existait (le filet + la respiration avant les thématiques étaient absents), ajouté en JSX + CSS (margin 26px 0 30px, padding-top 24px, border-top). (2) STYLE — .chip réutilisait le pastille pleine lavande d'un autre composant partagé (fond plein, sans bordure) au lieu de la pastille blanche à contour de la maquette (border 1px rgba(79,37,216,.2), fond blanc, padding 7px 10px) ; gap 6px au lieu de 8px. Scopé à .qdlb (chip est un composant partagé avec d'autres usages du site)."
QA.07,[SECTION 02] Corps éditorial — J'aime,Conteneur .like-row + bouton,.like-row/.like-button,.v2-article-page .like-block/.like-button (composant partagé LikeButton),CONFORME,CONFORME,CONFORME,CONFORME,CONFORME,"BUGS RÉELS CORRIGÉS (composant partagé, scopé à .v2-article-page.qdlb pour le conteneur) : padding 24px 0 0 + margin 32px 0 (au lieu de padding 30px 0, sans marge) ; couleur de bordure opaque #E2DCF3 (au lieu de rgba(23,20,45,.13), quasi transparente comme la maquette — même bug que Je Confesse JC.24). Bouton : gap 6px/padding 0/14.5px (au lieu de gap 10px/padding 8px 0/16px hérité du corps, jamais comparé à la maquette pour ce gabarit)."
QA.08,[SECTION 03] Zone de partage,ShareCartouche (composant partagé),.share-zone/.share-inner/.share-invite/.share-row/.share-icon (×8),.v2-article-page.qdlb .share-zone/.share-block/.share-invite/.share-row/.share-icon,CONFORME,CONFORME,CONFORME,CONFORME,CONFORME,"Réutilisation obligatoire du composant partagé confirmée (ordre des icônes et pictogrammes déjà corrects, corrigés lors du tour Je Confesse). Écarts RÉELS propres à cette route, jamais migrée : (1) habillage ""icônes nues"" 21×21 sans cadre au lieu du traitement encadré 46×46 (bordure, fond translucide, hover blanc/violet) déjà appliqué à Rosée Matinale/Je Confesse/Connaître Jésus — corrigé, scopé .qdlb. (2) SMS masqué sur desktop par une règle produit non applicable à la maquette de cette route — rendu visible. (3) .share-zone padding 16px 0 au lieu de 55px 0. (4) .share-invite/.share-row : 14px/700 et gap 24px au lieu de 16px/800 et gap 8px, sans les filets translucides haut/bas. Hover testé réellement."
QA.09,[SECTION 04] Prière & Déclaration / Aller plus loin,Grille 2 colonnes .article-extras,.article-extras/.article-extras-grid/.extra-card/.prayer-card/.further-reading,.v2-article-page(.qdlb) .article-extras/.article-extras-grid/.extra-card/.prayer-card/.further-reading,CONFORME,CONFORME,CONFORME,CONFORME,CONFORME,"BUGS RÉELS CORRIGÉS : (1) COMPOSITION — .article-extras-grid réutilise la classe ""wrap"" ANCIENNE (padding 0 28px) au lieu de la vraie maquette (aucun padding) : grille mesurée à 550px/550px au lieu de 578px/578px (même famille de bug que RelatedArticlesSection, RM/JC). (2) STYLE — fond de section var(--v2-violet-pale)=#eee8ff au lieu du littéral #f4f1ff (même teinte que .related-articles, déjà corrigée ailleurs, RM.23) ; fond de .prayer-card var(--v2-paper)=#fbfaff au lieu de #f2f2f4 littéral ; couleur de son texte var(--v2-ink-soft)=#312d46 au lieu de #514d5d littéral — variables du système v2 jamais calibrées pour ces teintes précises. Le reste (grille 2 colonnes, cartes, séparateurs entre versets) déjà conforme."
QA.10,[SECTION 04b] Bloc « ← Toutes les publications »,Présence — bloc supplémentaire V2,ABSENTE — la maquette termine .article-extras directement par .related-section,.back-cta (retiré),SUPPLÉMENTAIRE V2 RETIRÉ,CONFORME,CONFORME,CONFORME,CONFORME,"BUG RÉEL CORRIGÉ : bloc sans aucun équivalent dans la maquette de cette page — vérifié avant suppression qu'il ne portait aucune fonction indispensable (simple lien statique vers /publications, déjà accessible depuis le menu principal). Retiré uniquement de la branche Que Dit la Bible ; La Vie Supérieure (même bloc, non citée ce tour-ci) le conserve, inchangé."
