identifiant,section,element,selecteur_maquette,correspondant_v2,statut,note
BQ.001,SECTION 01 - Hero,Conteneur hero (variante Boutique),.store-hero.shop-hero (min-height:230px déclaré),.v2-store-hero.boutique,ECART_CORRIGE_SUR_INTENTION,"ANOMALIE MAQUETTE : .shop-hero et .store-hero (base) ont la même spécificité (1 classe) ; .store-hero étant déclaré plus bas dans commerce.css, il gagne réellement en cascade — mesuré en direct : le hero Boutique de la maquette statique affiche 300px, pas 230px. .shop-hero{min-height:230px} est un bloc mort. Repris l'INTENTION de conception (230px), pas le rendu accidentel (300px), pour ne pas produire un hero Boutique identique à Livres par accident de cascade."
BQ.002,SECTION 01 - Hero,Filigrane ::after (contenu/position/taille),.shop-hero::after{content:BOUTIQUE;bottom:-42px;font-size:clamp(86,15vw,180)},.v2-store-hero.boutique::after,ECART_CORRIGE_SUR_INTENTION,"Même anomalie : mesuré en direct, le ::after réellement rendu sur la maquette statique affiche le filigrane ""LIVRES"" (pas ""BOUTIQUE""), à bottom:-58px et font-size clamp(110,19vw,230) — les 3 propriétés de .shop-hero::after sont mortes, écrasées par .store-hero::after (base, plus bas dans le fichier, même spécificité). Reproduire littéralement afficherait ""LIVRES"" en production sur /boutique. Repris le contenu/position/taille voulus par le bloc .shop-hero (dédié, entièrement rédigé), jamais son rendu accidentel."
BQ.003,SECTION 01 - Hero,Padding bloc interne,.shop-hero .store-hero-inner{padding-block:46px 50px},.v2-store-hero.boutique .v2-store-hero-inner,ECART_CORRIGE,"Seule propriété du bloc .shop-hero réellement appliquée dans la maquette (sélecteur à 2 classes, plus spécifique que la base à 1 classe) — confirmé par mesure directe (padding réellement rendu : 46px 50px). V2 héritait par erreur du padding de base (62px 68px)."
BQ.004,SECTION 01 - Hero,Titre H1 (taille),.shop-hero h1{font-size:clamp(48px,7vw,76px) déclaré},.v2-store-hero.boutique h1,ECART_CORRIGE_SUR_INTENTION,"Même anomalie que BQ.001 : mesuré en direct, le H1 réellement rendu sur la maquette statique fait 94px (clamp de la base .store-hero h1), pas 76px — .shop-hero h1 est mort, écrasé par .store-hero h1 (base, même spécificité, plus bas dans le fichier). Repris l'intention de conception (76px, hero Boutique plus compact), pas le rendu accidentel (94px, identique à Livres)."
BQ.005,SECTION 01 - Hero,Eyebrow « L'univers du ministère »,.eyebrow.light,.v2-eyebrow.light,CONFORME,Contenu et style identiques.
BQ.006,SECTION 01 - Hero,Paragraphe hero,p (description),p (metadata description partagée),CONFORME,Texte réel identique à la maquette.
BQ.010,SECTION 02 - Intro,Grille intro (colonnes/gap),.shop-intro{grid-template-columns:1.2fr .8fr;gap:55px},.v2-shop-intro,CONFORME,Valeurs identiques.
BQ.011,SECTION 02 - Intro,Titre H2,.shop-intro h2,.v2-shop-intro h2,CONFORME,Texte et style identiques.
BQ.012,SECTION 02 - Intro,Lien inline « Livres » dans le paragraphe,.account-link{font-size:12px;font-weight:800;color:var(--violet-deep)},.v2-shop-intro a (générique, avant correction),ECART_CORRIGE,"La maquette applique la classe dédiée .account-link (12px/800) au lien inline, jamais le style de paragraphe (15px/750) hérité par défaut. Ajout d'une classe .account-link scopée."
BQ.013,SECTION 02 - Grille produits,Grille goodies (colonnes/gap),.goodies-grid{grid-template-columns:repeat(4,1fr);gap:17px},.v2-goodies-grid,CONFORME,Valeurs identiques.
BQ.014,SECTION 02 - Grille produits,Carte produit (bordure/radius/ombre),.goodie-card,.v2-goodie-card,CONFORME,Valeurs identiques.
BQ.015,SECTION 02 - Grille produits,Rotation dégradés visuels (nth-child 4n+2/3/4),.goodie-card:nth-child(4n+2/3/4) .goodie-visual,.v2-goodie-card:nth-child(4n+2/3/4) .v2-goodie-visual,CONFORME,Valeurs identiques.
BQ.016,SECTION 02 - Grille produits,Anneau décoratif ::before,.goodie-visual::before,.v2-goodie-visual::before,CONFORME,Valeurs identiques.
BQ.017,SECTION 02 - Grille produits,Texte d'accroche du visuel placeholder,.goodie-visual span (accroche éditoriale par produit),.v2-goodie-visual span (fallback: goodie.title),DONNEE_CMS_MANQUANTE,"La maquette affiche une accroche éditoriale propre à chaque produit (ex. « Voix prophétique », « Identité du Royaume »), sans rapport direct avec le titre et absente du modèle goodies. Aucun champ CMS ne la porte. Conservé le repli sur goodie.title (donnée réelle), jamais la phrase de la maquette codée en dur."
BQ.018,SECTION 02 - Grille produits,Mention « Visuel à venir »,.goodie-visual small,(absent),ABSENT_V2_CORRIGE,"Élément <small>Visuel à venir</small> entièrement absent du placeholder V2 (structure ET CSS). Ajouté à l'identique (texte générique d'interface, non éditorial)."
BQ.019,SECTION 02 - Grille produits,Titre produit (H3),.goodie-body h3,.v2-goodie-body h3 (goodie.title),CONFORME,Donnée réelle, style identique.
BQ.020,SECTION 02 - Grille produits,Statut produit,.goodie-status (« Bientôt disponible »),.v2-goodie-status,CONFORME,"Maquette : toujours « Bientôt disponible » (aucun exemple « available »). V2 : extension compatible (prix réel si status=available), non contradictoire avec la maquette faute d'exemple."
BQ.021,SECTION 02 - Grille produits,Action produit (libellé/lien),.goodie-action (lien réel « Voir le produit » OU <span aria-disabled> « À venir »),.v2-goodie-action (avant : lien « Découvrir » si non disponible),ECART_CORRIGE,"« Découvrir » n'a aucune base dans la maquette (seul « Voir le produit » existe comme libellé de lien). Une fiche produit réelle et fonctionnelle existe pour les 8 goodies (getGoodieBySlug), contrairement à la maquette statique qui n'avait construit qu'un seul exemple de fiche — l'état <span aria-disabled> de la maquette n'a donc plus lieu d'être reproduit ici : fonction réelle préservée, libellé uniformisé sur « Voir le produit »."
BQ.022,SECTION 02 - Bloc ouverture,Conteneur (bordure/fond/padding),.shop-opening,.v2-shop-opening,CONFORME,Valeurs identiques.
BQ.023,SECTION 02 - Bloc ouverture,Titre « Ouverture prochaine »,.shop-opening strong,.v2-shop-opening strong,CONFORME,Texte et style identiques.
BQ.024,SECTION 02 - Bloc ouverture,Paragraphe,.shop-opening p,.v2-shop-opening p,ECART_CORRIGE,"Maquette : « ...seront ajoutés dès la mise en service. » — V2 affichait « ...seront ajoutés au fur et à mesure. »"
BQ.025,SECTION 02 - Bloc ouverture,Lien « Être informé de l'ouverture »,.shop-opening a,.v2-shop-opening a,CONFORME,Texte, href (#newsletter) et style identiques.
BQ.030,SECTION 03 - Newsletter,Bloc newsletter complet,.newsletter/.newsletter-inner/.newsletter-form,Newsletter.tsx (composant partagé),HORS_PERIMETRE,"Composant partagé présent sur 15+ pages, déjà audité et certifié lors de chantiers précédents (texte générique volontairement unifié plutôt que le texte spécifique de chaque maquette de page). Non retouché ici."
BQ.031,SECTION 04 - Footer,Footer complet,footer.footer-dark,Footer.tsx (composant partagé),HORS_PERIMETRE,Composant partagé déjà certifié lors de chantiers précédents. Non retouché ici.
