identifiant,section,element,selecteur_maquette,correspondant_v2,structure,contenu,composition,style,statut_global,note
INV.00,SOURCE MAQUETTE / GABARIT V2,Identification,"prototype-html/invitation/index.html + engagement.css (partagé avec Contact/Partenariat/Don, non construits ici) + styles.css","site/src/app/(site)/invitation/page.tsx + site/src/components/forms/InvitationForm.tsx (composant fonctionnel, action serveur submitInvitationForm dans lib/forms/actions.ts) — Header/Footer/Newsletter partagés déjà certifiés, non reconstruits",CONFORME,CONFORME,CONFORME,CONFORME,CONFORME,8 sections cartographiées jusqu'aux composants communs (Newsletter/Footer). engagement.css est un fichier partagé (Contact/Partenariat/Don l'utilisent aussi selon ses propres commentaires) mais aucune de ces autres pages n'existe encore en V2 — aucun risque de régression croisée.
INV.01,[SECTION 01] Hero (.engagement-hero.invitation-hero),"Eyebrow + titre + décor (cercle, filigrane ""INVITER"")",.engagement-hero/.engagement-hero-inner/.eyebrow/h1/::before/::after,.v2-engagement-hero.invitation/.v2-engagement-hero-inner/.v2-eyebrow/h1,CONFORME,CONFORME,CONFORME,CONFORME,CONFORME,"Déjà conforme, revérifié réellement (pas par analogie avec Que Dit la Bible/La Vie Supérieure) : x/y/w/h, police, couleurs, letter-spacing, filigrane ::after (""INVITER"", 225px, rgba(255,255,255,.043)) et décor ::before identiques au pixel près."
INV.02,[SECTION 02] Intro (.invitation-intro),Titre + chapeau centrés,.invitation-intro/h2/p,.v2-invitation-intro/h2/p,CONFORME,CONFORME,CONFORME,CONFORME,CONFORME,"Déjà conforme, revérifié réellement : x/y/w/h, police, taille, couleur, centrage identiques au pixel près."
INV.03,[SECTION 03] Formulaire — Conteneur + « Vos coordonnées » (01),Carte du formulaire (bordure/radius/ombre) + 1re section numérotée,.invitation-form/.form-section/.form-section-heading (span+h2)/.form-fields/.field-row,.v2-invitation-page form/.inv-form-section/.form-section-heading/.form-fields (ajouté)/.inv-row,STRUCTURE CORRIGÉE,CONFORME,COMPOSITION CORRIGÉE,STYLE CORRIGÉ,CONFORME (après correction),"3 BUGS RÉELS MAJEURS CORRIGÉS : (1) .form-section-heading n'était pas display:flex (maquette : flex, gap 13px) — le numéro et le titre s'empilaient verticalement au lieu de côte à côte. (2) le <span>01</span> était un chiffre nu sans le moindre style, alors que la maquette en fait une pastille ronde pleine 32×32, fond violet-deep (#4f25d8), texte blanc 11px/800 — jamais construite. (3) le conteneur .form-fields (maquette : seul enfant réel de la 2e colonne de la grille .form-section, display:grid;gap:18px) était absent du JSX : chaque .inv-row devenait un enfant direct de la grille à 2 colonnes de la section, et l'auto-placement CSS renvoyait le 2e .inv-row dans la 1re colonne (190px) d'une ligne implicite suivante — mesuré avant correction : champs E-mail/Téléphone écrasés à 86px de large chacun au lieu de 344px. Les 3 corrigés ; re-mesuré : pastille 32×32 violette conforme, en-tête flex alignée, les deux .inv-row à 706px/344px+344px comme la maquette. — SUPERSEDÉ PAR INV.09 (14/09) : le système de pastille numérotée 01/02/03 décrit ci-dessus est abandonné par décision validée après retour humain ; ce n'est plus une non-conformité mais un choix assumé qui remplace la maquette sur ce point précis. — SUPERSEDÉ PAR INV.11 (14/09) : les dimensions de champs alignées ici sur la maquette ont ensuite été abandonnées par décision validée après retour humain, au profit des valeurs de la version précédente (retrouvées dans l'historique Git) ; ce n'est plus une non-conformité mais un choix assumé qui remplace la maquette sur ce point précis."
INV.04,[SECTION 04] Formulaire — « Votre structure » (02),"2e section numérotée (Hôte, Pays, Ville)",.form-section/.form-section-heading/.form-fields,.inv-form-section/.form-section-heading/.form-fields,CONFORME,CONFORME,CONFORME,CONFORME,CONFORME,"Même bug que INV.03 (composant partagé), corrigé une seule fois — revérifié indépendamment sur cette section précise : pastille ""02"" conforme, champ Hôte pleine largeur (706px), ligne Pays/Ville à 344px chacun. — SUPERSEDÉ PAR INV.09 (14/09) : le système de pastille numérotée 01/02/03 décrit ci-dessus est abandonné par décision validée après retour humain ; ce n'est plus une non-conformité mais un choix assumé qui remplace la maquette sur ce point précis."
INV.05,[SECTION 05] Formulaire — « L'événement » (03),"3e section numérotée (type, ministère, thème, dates, contact sur place)",.form-section/.form-fields/.field-row/select/input date,.inv-form-section/.form-fields/.inv-row/select/input date,CONFORME,CONTENU CORRIGÉ,CONFORME,CONFORME,CONFORME,"Structure/composition/style déjà conformes (select/input date déjà stylés correctement, revérifié). BUG RÉEL CORRIGÉ : ""L'événement""/""Type d'invitation""/""Thème de l'événement""/""frais de voyage et d'hébergement"" utilisaient l'apostrophe droite (&apos; → ') au lieu de l'apostrophe typographique courbe (’) systématiquement utilisée par la maquette et le reste du site — corrigé sur les 4 occurrences."
INV.06,[SECTION 06] Formulaire — « Informations complémentaires » (04),"4e section numérotée (radios frais couverts, champ facultatif, message)",.form-section/.radio-group/.radio-option/textarea,.inv-form-section/.radio-row/label/textarea,CONFORME,CONFORME,CONFORME,STYLE CORRIGÉ (mineur),CONFORME (après correction),"Radios déjà pixel-parfaits (18×18, appearance:none, cercle violet-deep coché) — revérifié réellement, pas par analogie. BUG RÉEL MINEUR CORRIGÉ : le libellé des options radio s'affichait à 14px au lieu de 13px — la maquette déclare 14px sur .radio-option, mais celui-ci est imbriqué dans un .field, où la règle plus spécifique "".field label"" (13px) l'emporte réellement sur le rendu ; effet de cascade mesuré sur le rendu réel, jamais sur la valeur ""nue"" de la règle isolée. Un `required` redondant sur les 2e/3e boutons radio (jamais présent dans la maquette, sans effet fonctionnel réel — un seul suffit pour un groupe) retiré pour un compte de champs requis identique (14, contre 16 avant). — COMPLÉTÉ PAR INV.10 (14/09) : le style radio personnalisé (appearance:none, cercle dessiné en CSS) décrit ci-dessus a ensuite été abandonné par décision validée après retour humain, au profit du bouton radio natif du navigateur ; ce n'est plus une non-conformité mais un choix assumé qui remplace la maquette sur ce point précis."
INV.07,[SECTION 07] Formulaire — Consentement + Envoi + chaîne fonctionnelle,"Case consentement, bouton d'envoi, filet/fond d'alignement, traitement réel de la demande",.form-submit-row/.form-consent/.primary-submit/.form-feedback,.inv-submit-row (ajouté)/.consent-label/.btn.btn-primary + submitInvitationForm (lib/forms/actions.ts),CONFORME,CONTRÔLE MANUEL REQUIS (partiel),STYLE CORRIGÉ,CONFORME,CONTRÔLE MANUEL REQUIS (habillage corrigé — chaîne fonctionnelle non soumise réellement),"BUG RÉEL CORRIGÉ : le conteneur d'envoi utilisait un style inline (padding:""0 48px 42px"", aucun fond, aucun filet) au lieu du padding asymétrique réel de la maquette (30px 48px 38px 284px, aligné sur la colonne de champs) avec filet supérieur et fond #fbfaff — remplacé par une vraie classe .inv-submit-row, re-mesuré identique. Bouton (dégradé/radius/ombre) déjà conforme. CONTRÔLE MANUEL REQUIS sur la chaîne fonctionnelle complète (interface→saisie→validation→traitement→données envoyées→résultat) : la maquette simule un envoi via un texte de retour inline (.form-feedback, JS statique, jamais de vraie donnée) tandis que la V2 exécute une vraie action serveur (insertion réelle dans `invitation_submissions`, envoi d'un e-mail de notification réel, puis redirection vers /confirmation?type=invitation) — un comportement RÉEL et VOLONTAIREMENT différent du prototype statique, jamais à ""corriger"" pour imiter une simulation (consigne explicite). Vérifié sans soumission réelle (aucune donnée de test, aucun e-mail réel envoyé) : validation HTML5 native confirmée (formulaire vide → checkValidity()=false, 14 champs required identiques à la maquette) ; le déclenchement réel de l'action serveur, l'insertion en base et l'e-mail de notification n'ont pas été testés de bout en bout — cela exigerait une soumission réelle avec des données authentiques, hors de portée de cette certification technique."
INV.08,[SECTION 08] Newsletter + Header/Footer (composants partagés),Rendu dans le contexte réel d'Invitation,Composants déjà certifiés,Newsletter/Footer/Header (aucune modification),CONFORME,CONFORME,CONFORME,CONFORME,CONFORME,"Non-régression vérifiée dans ce nouveau contexte (pas par analogie) : fond, titre ""ParoleDeViePourVous"", structure identiques à la maquette et au rendu déjà certifié ailleurs. Aucun composant partagé modifié par cette page — seules des classes propres à InvitationForm (.inv-form-section/.inv-row/.form-fields/.inv-submit-row/.radio-row) ont été touchées, confirmées utilisées nulle part ailleurs (grep exhaustif), aucun risque de régression croisée."
INV.09,[SECTION] Navigation / repères des étapes 01/02/03 — DÉCISION VALIDÉE (reprise 14/09),"Abandon du système graphique de pastilles numérotées 01/02/03 (§ .form-section-heading, <span>+cercle violet) pour l'ensemble des 4 sections du formulaire",".form-section-heading (span+h2), pastille ronde 32×32 violet-deep","InvitationForm.tsx : <h2> simple par section, sans marqueur ; globals.css : .v2-invitation-page .inv-form-section h2 reprend telles quelles les valeurs de .v2-invitation-intro h2 (Fraunces, clamp(36px,5vw,54px), 500, 1.08) ; .inv-form-section n'est plus une grille 190px|reste","STRUCTURE = CORRIGÉE (marqueur retiré, plus de grille à colonne de repère)",CONTENU = CONFORME (titres d'étape conservés à l'identique : Vos coordonnées / Votre structure / L'événement / Informations complémentaires),"COMPOSITION = CORRIGÉE (bloc simple, titre au-dessus des champs, sur les 4 sections)","STYLE = CORRIGÉ (typographie reprise à l'identique de .v2-invitation-intro h2, aucune valeur nouvelle inventée)",EXCEPTION VALIDÉE (remplace la maquette),"DÉCISION VALIDÉE après validation visuelle humaine (14/09) : le système de pastilles numérotées de la maquette est abandonné pour l'ensemble du mécanisme (pas seulement une section) — jugé trop lourd. Les titres d'étape restent nécessaires mais leur présentation est simplifiée en réutilisant le traitement typographique déjà validé sur ""Vous souhaitez inviter Serge"" (.v2-invitation-intro h2), sans créer de nouvelle typographie. Revérifié en direct sur les 4 sections (dev server) : fontSize 54px / fontWeight 500 / textTransform none identiques sur les 4 <h2>. Hero et intro (INV.01/INV.02) non touchés, revérifiés inchangés."
