identifiant,section,element,selecteur_maquette,correspondant_v2,statut,proprietes_non_conformes
01.01,01 - En-tête / Network bar / Navigation,Bandeau réseau (network-bar) — conteneur/layout,.network-bar,.v2-network-bar,CONFORME,
01.02,01 - En-tête / Network bar / Navigation,Lien « ActesDesFilsDeDieu »,nav[aria-label='Sites partenaires'] a:nth-child(1),lien équivalent réseau (v2-network-bar),CONFORME,corrigé : line-height 20.8px restauré via cascade .v2-network-bar — hauteur 21px identique à la maquette désormais
01.03,01 - En-tête / Network bar / Navigation,Séparateur décoratif entre les 2 liens réseau,nav[aria-label='Sites partenaires'] span,—,CONTRÔLE MANUEL REQUIS,"élément décoratif vide, non capturé par l'extraction (texte vide)"
01.04,01 - En-tête / Network bar / Navigation,Lien « amDG Éditions du Royaume »,nav[aria-label='Sites partenaires'] a:nth-child(2),lien équivalent réseau,CONFORME,"corrigé : line-height restauré via cascade — hauteur 21px identique. Largeur 190px vs 176px (maquette) : écart structurel assumé — le séparateur entre les 2 liens réseau est implémenté en padding-left+::before sur le 2e lien (adaptation) plutôt qu'un <span> séparé comme dans la maquette ; le rendu visuel (ligne de séparation verticale) est équivalent, signalé comme adaptation et non comme défaut"
01.05,01 - En-tête / Network bar / Navigation,Lien hebdomadaire « Recevez ParoleDeViePourVous » + flèche,a.weekly-link,SUPPLÉMENTAIRE — remplacé par un ticker dynamique (v2-ticker),NON CONFORME,"structure remplacée par un ticker déroulant — déviation validée par Serge (documentée, SUPPLÉMENTAIRE) ; l'écart de couleur/font-weight sur la flèche relevé dans le référentiel initial est un artefact d'appariement automatique (le lien fixe n'existe plus tel quel côté V2, remplacé par le ticker)"
01.06,01 - En-tête / Network bar / Navigation,Barre de navigation principale (main-nav) — conteneur/layout,.main-nav.wrap,.v2-main-nav / wrap,CONFORME,"display grid, gap 20px, hauteur 90px identiques des deux côtés"
01.07,01 - En-tête / Network bar / Navigation,Lien logo (brand),a.brand,Header brand link,CONFORME,
01.08,01 - En-tête / Network bar / Navigation,Image logo,a.brand img,<Image> logo (Header.tsx),CONFORME,"corrigé : largeur 188px restaurée (était 170px, à la fois dans l'attribut width du composant Image et dans une règle CSS .v2-brand img{width:170px} qui l'écrasait) — hauteur 71px vs 63px (maquette) : le fichier logo réel (/logo.png) a un ratio légèrement différent de l'asset de la maquette (assets/logo.png), écart d'asset et non de CSS, non corrigé pour ne pas déformer le logo réel"
01.09,01 - En-tête / Network bar / Navigation,Menu desktop (desktop-menu) — conteneur/layout,nav.desktop-menu,.v2-desktop-menu,CONFORME,re-vérifié : line-height restauré via cascade header{} — hauteurs des liens du menu desktop identiques à la maquette (voir 01.10 et suivants)
01.10,01 - En-tête / Network bar / Navigation,Lien « Accueil » (actif),nav.desktop-menu a.active,lien nav actif,CONFORME,corrigé : line-height 20.8px restauré via cascade header{} — hauteur 39px identique à la maquette
01.11,01 - En-tête / Network bar / Navigation,Déclencheur dropdown « À propos » + flèche ⌄,details.nav-dropdown summary,button.v2-nav-dropdown-trigger,CONFORME,"contrôle comportemental réel effectué : le panneau s'ouvre bien au survol/focus (display:block) ET se referme réellement quand le focus est retiré ou que le pointeur clique ailleurs (display revient à none, vérifié par clic hors zone + capture d'écran avant/après) — pas seulement une comparaison de règles CSS statiques"
01.12,01 - En-tête / Network bar / Navigation,Panneau dropdown « À propos »,.nav-dropdown-menu (1er),.v2-nav-dropdown-menu (1er),CONFORME,règle CSS d'ouverture identique des deux côtés (display:block sur :hover/:focus-within)
01.13,01 - En-tête / Network bar / Navigation,Item dropdown « À propos » : De Serge,a[href*='De Serge'],"lien équivalent confirmé présent (nav_items, vérification BDD antérieure)",CONFORME,"re-mesuré directement en forçant l'ouverture du panneau via focus() réel (plus fiable que le survol synthétique) : Inter/13px/650/lineHeight 20.8px/couleur rgb(23,20,45)/padding 10px 13px/border-radius 5px/188×41 identiques à la maquette — la limitation de mesure automatique (dimensions nulles panneau fermé) est résolue par ce contrôle direct en état ouvert"
