identifiant,section,element,selecteur_maquette,correspondant_v2,statut,note
CONF.000,CARTOGRAPHIE,SOURCE,"maquettes-complementaires-shm/confirmation-standard.html (gabarit commun contact/invitation/don/avis/newsletter/profil/priere) + confirmation-paiement.html (même gabarit + récapitulatif réel)",src/app/(site)/confirmation/page.tsx,INFO,"Nouvelles sources de vérité pour l'INTERFACE uniquement (remplacent l'ancienne coquille prototype-html/confirmation/index.html + confirmation.js, insuffisante). Le code actuel reste la source de vérité pour les FONCTIONS/DONNÉES (8 messages réels, récapitulatif de commande réel). Header/Footer des maquettes = illustratifs uniquement, non reconstruits (Header/Footer réels du site conservés, injectés par (site)/layout.tsx)."
CONF.001,SECTION 01 - Bandeau,Conteneur (dégradé lavande->blanc/ min-height/ padding),.confirm,.v2-confirmation-page .v2-confirm (AJOUTÉ),ABSENT_V2_CORRIGE,".confirm-section (legacy) n'avait ni dégradé ni min-height ; remplacé."
CONF.002,SECTION 02 - Carte confirmation,Eyebrow ""Confirmation"",.eyebrow (statique dans les 2 maquettes),.v2-confirm-eyebrow (ABSENT->AJOUTÉ),ABSENT_V2_CORRIGE,"Élément entièrement absent de l'ancienne version. Texte générique d'interface (identique sur les 8 états), jamais dynamique — reproduit à l'identique."
CONF.003,SECTION 02 - Carte confirmation,Coche de validation (cercle),.check (66px/ violet/ ombre portée),.v2-confirm-check (AJOUTÉ, remplace .confirm-icon 72px sans ombre),ECART_CORRIGE,"Taille (72px->66px) et ombre portée (absente->0 12px 34px rgba(109,49,242,.18)) corrigées."
CONF.004,SECTION 02 - Carte confirmation,Titre (H1),.confirm h1 (56px, Georgia, line-height 1.04),.v2-confirm-card h1 (remplace .confirm-section h1, 28px sans serif),ECART_CORRIGE,"Donnée réelle (titre dynamique selon type) — taille/police alignées sur la maquette."
CONF.005,SECTION 02 - Carte confirmation,Texte (lead),.lead (max-width 670px/ 18px/ muted),.v2-confirm-lead (remplace .confirm-section p, 480px/15.5px),ECART_CORRIGE,Donnée réelle (texte dynamique selon type) — dimensions alignées.
CONF.006,SECTION 02 - Carte confirmation,CTA (2 boutons),.cta / .btn.primary+.btn.secondary,.v2-confirm-cta / .v2-btn.v2-btn-primary+.v2-btn-secondary (remplace .confirm-actions / .btn.btn-primary+.btn-outline génériques),ECART_CORRIGE,"Les classes génériques .btn-primary/.btn-outline (dégradé/ink, partagées par 10 autres fichiers) ne correspondent pas aux couleurs plates violet/violet-dark de la maquette — classes dédiées créées, aucune classe partagée modifiée. Libellés et hrefs réels (/ et /publications) inchangés."
CONF.007,SECTION 02 - Carte confirmation (maquette standard uniquement),Note explicative sous le CTA,".note (""Gabarit commun : contact · invitation · don..."")",(non reproduit),SIGNALE_NON_REPRODUIT,"Texte de documentation À PROPOS de la maquette elle-même (explique au lecteur du fichier que le gabarit est partagé), absent de la version paiement, sans rapport avec un message destiné à un visiteur réel. Ne jamais rendre une méta-note de maquette comme contenu réel — non reproduit, conformément au principe déjà appliqué sur ce chantier (jamais coder en dur une phrase de maquette qui n'est pas un contenu réel)."
CONF.010,SECTION 03 - Récapitulatif (paiement uniquement),Conteneur (bordure/radius/ombre),.order,.v2-confirm-order (AJOUTÉ, remplace .admin-card + styles inline),ABSENT_V2_CORRIGE,".admin-card est une classe de l'interface d'administration, jamais destinée au site public — remplacée par une classe dédiée à cette page, aucun style inline conservé."
CONF.011,SECTION 03 - Récapitulatif,Titre ""Votre commande"" (H2),.order h2,.v2-confirm-order h2 (AJOUTÉ),ABSENT_V2_CORRIGE,Élément entièrement absent de l'ancienne version (aucun titre sur le bloc récapitulatif).
CONF.012,SECTION 03 - Récapitulatif,Ligne article (titre + quantité + prix),".item (grid 1fr/auto ; <b>titre</b><small>Quantité N</small> + <strong>prix</strong>)",.v2-confirm-order-item (AJOUTÉ),ECART_CORRIGE,"DONNÉE RÉELLE EXISTANTE JAMAIS AFFICHÉE : order_items.unit_price_cents existe en base (déjà utilisé par le webhook Stripe et par /mon-compte) mais n'était pas sélectionné par cette page (SELECT title_snapshot, quantity seulement) — le prix par article était donc absent à tort, pas une donnée manquante. Ajouté à la requête Supabase existante, jamais fabriqué."
CONF.013,SECTION 03 - Récapitulatif,Totaux (Livraison + Total),".totals/.sum/.sum.total (Total en Georgia 23px)",.v2-confirm-order-totals (remplace 2 <div> à styles inline),ECART_CORRIGE,"Données déjà réelles (shipping_cents/total_cents, déjà écrites par le webhook Stripe) — seule la présentation (styles inline sans classe) est corrigée. Aucune ligne ""Sous-total"" : absente aussi de la maquette paiement, non ajoutée."
CONF.020,SECTION 04 - Composants partagés,Header (réseau + nav),.network/.header (illustratifs dans la maquette),Header.tsx + BrandSplit/Topbar (composants réels, injectés par (site)/layout.tsx),HORS_PERIMETRE,"Non reconstruit depuis le HTML de la maquette (consigne explicite) — composant partagé déjà présent sur la page, inchangé."
CONF.021,SECTION 04 - Composants partagés,Footer,.footer (illustratif dans la maquette),Footer.tsx (composant réel, variant sans effet documenté),HORS_PERIMETRE,"Non reconstruit. variant=""dark""/""light"" sans effet réel (une seule variante claire, décision globale déjà actée ailleurs) — non modifié ici."
