section,source_maquette,correspondant_v2,structure_mobile,assets,comportement,statut
"[SECTION 01] Header / navigation mobile","prototype-html/index.html § .site-header/.network-bar/.main-nav/.search-panel + styles.css (media ≤1100/≤720/≤410px)","Header.tsx + Topbar.tsx + BrandSplit.tsx (layout.tsx), classes .v2-site-header/.v2-network-bar/.v2-main-nav/.v2-search-panel","Bande réseau pleine largeur (édition mobile) > logo + icônes (recherche/compte/panier) + hamburger sur une ligne > panneau recherche togglable > menu mobile plein écran au clic","Logo (logo.png), icônes SVG recherche/compte/panier, glyphe ☰/✕ du bouton menu","Recherche en accordéon CSS (checkbox), menu mobile en overlay plein écran au clic, ticker défilant (écart déjà validé avec Serge, non retraité)","CORRIGÉ — voir rapport Section 01"
"[SECTION 02] Hero","prototype-html/index.html § .hero/.hero-photo/.hero-copy/.hero-actions + styles.css (media ≤1100/≤720/≤410px)","page.tsx § v2-home-hero","Bandeau + titre + texte + 2 CTA empilés, photo de fond","Photo de fond (home-hero-community.jpg)","CTA empilés en 1 colonne sous 410px (grid-template-columns:1fr)","NON TRAITÉ — section suivante"
"[SECTION 03] Rosée Matinale du jour","prototype-html/index.html § .dew-wrap/.dew-card + styles.css","page.tsx § v2-dew-wrap/v2-dew-card (getRoseeDuJour)","Carte flottante sur la charnière hero→contenu, date masquée sous 1100px (.dew-date{display:none})","Aucun","Donnée réelle, repli texte si aucune entrée du jour","NON TRAITÉ"
"[SECTION 04] Je Confesse du jour","prototype-html/index.html § .confession-wrap/.confession-card + styles.css","page.tsx § v2-confession-wrap/v2-confession-card (getConfessionDuJour)","Carte identique à Rosée Matinale, méta masquée sous 1100px (.confession-meta{display:none})","Aucun","Donnée réelle, repli texte si aucune proclamation du jour","NON TRAITÉ"
"[SECTION 05] Connaître Jésus","prototype-html/index.html § .jesus-gateway/.jesus-stage/.jesus-topics + styles.css (media ≤1100/≤720)","page.tsx § v2-jesus-gateway/v2-jesus-stage/v2-jesus-topics","Vignette vidéo + intro empilés sous 1100px, 4 vignettes thématiques en 2×2 sous 1100px","Miniature vidéo (home-video-thumb.jpg)","Lien vers /connaitre-jesus, pas de lecteur intégré sur l'accueil","NON TRAITÉ"
"[SECTION 06] Repères chiffrés (stats)","Absent de la maquette — fonctionnalité réelle admin sans emplacement prévu, habillage réutilisé de De Serge (assumé, cf. commentaire page.tsx)","page.tsx § v2-ds-stats (getActiveStats)","Grille de chiffres, condition d'affichage si au moins une statistique active","Aucun","Repli : section absente si aucune statistique active (jamais de zéro fictif)","NON TRAITÉ — écart maquette déjà assumé, à confirmer seulement responsive"
"[SECTION 07] Une Parole pour chaque besoin (4 catégories)","prototype-html/index.html § .publications-section/.category-grid + styles.css","page.tsx § v2-category-section/v2-category-grid","4 cartes catégorie, empilement mobile à vérifier","Aucun","Menu de navigation vers les 4 rubriques, pas un aperçu de contenu","NON TRAITÉ"
"[SECTION 08] Agenda / événements","prototype-html/index.html § .events-section/.events-grid + styles.css (media ≤1100)","page.tsx § v2-events-section/v2-events-grid (getNextEvent/getPastEvents)","1 colonne sous 1100px (.events-grid{grid-template-columns:1fr})","Aucun","Données réelles (table événements), repli texte si aucun événement à venir","NON TRAITÉ"
"[SECTION 09] Dernières parutions (Livres)","prototype-html/index.html § .books-section/.books-grid + styles.css (media ≤1100/≤410)","page.tsx § v2-books-section/v2-books-grid (getBooks)","2 colonnes sous 1100px, 1re carte pleine largeur sous 410px (.book-main{display:block})","Couvertures de livres (CoverRollover)","Lien catalogue, repli texte si catalogue vide","NON TRAITÉ"
"[SECTION 10] Soutenir / Partenariat","prototype-html/index.html § .support-section/.support-grid + styles.css (media ≤1100)","page.tsx § v2-support-section/v2-support-grid","1 colonne sous 1100px (gap réduit à 55px)","Aucun","CTA vers /partenariat","NON TRAITÉ"
"[SECTION 11] Rester connecté (réseaux sociaux)","prototype-html/index.html § .community-section/.social-list + styles.css (media ≤1100)","page.tsx § v2-community-section/v2-social-list (getSocialLinks)","Titre + liste de 4 réseaux, gap réduit sous 1100px","Icônes réseaux (glyphes)","4 liens externes réels, toujours 4 (pas de donnée variable)","NON TRAITÉ"
"[SECTION 12] Newsletter","prototype-html/index.html § .newsletter + styles.css (media ≤1100)","Newsletter.tsx (composant partagé)","Composant partagé déjà validé sur d'autres pages — à recontrôler seulement dans le contexte Accueil","Aucun","Inscription réelle (MailerLite)","NON TRAITÉ"
"[SECTION 13] Footer","prototype-html/index.html § .site-footer + styles.css (media ≤1100)","Footer.tsx (composant partagé)","Composant partagé déjà validé sur d'autres pages — à recontrôler seulement dans le contexte Accueil","Aucun","Liens réels (site/ministère/réseaux/légal)","NON TRAITÉ"
