identifiant,section,element,selecteur_maquette,correspondant_v2,structure,contenu,composition,style,statut_global,note
VS.00,SOURCE MAQUETTE / GABARIT V2,Identification,prototype-html/publications/nouvel-article-61cdg/index.html + publications.css/styles.css,"site/src/app/(site)/publications/[slug]/page.tsx — branche if(article.type===""vs"") (gabarit propre, PAS celui de QDLB, seuls Header/Footer/ShareCartouche/RelatedArticlesSection sont partagés)",CONFORME,CONFORME,CONFORME,CONFORME,CONFORME,"Maquette propre à La Vie Supérieure confirmée distincte de celle de Que Dit la Bible : pas de scripture-card (aucun exemple statique n'en montre), .entry-body porte la classe numbered-sections (h2 numérotés 01/02…, absent chez QDLB), topic-list SANS conteneur .article-topics (pas de filet), ordre interne au corps différent (J'aime AVANT les thématiques, pas après comme QDLB). Gabarit V2 confirmé également distinct (branche if séparée dans le même fichier, jamais un simple alias du gabarit QDLB)."
VS.01,[SECTION 01] Hero (.entry-hero.life),Conteneur + kicker (badge seul) + titre + chapeau + métadonnées,.entry-hero.life/.wrap/.entry-kicker/.feed-badge.badge-life/h1/.entry-chapeau/.entry-meta,.v2-article-page.vs .article-header/.content-col/.article-kicker/.article-cat-badge/.article-title/.article-chapeau/.article-meta-line,CONFORME,CONFORME,CONFORME,CONFORME,CONFORME,"BUGS RÉELS CORRIGÉS (mêmes écarts que Que Dit la Bible, jamais corrigés ici faute d'être dans le périmètre des tours précédents, remesurés indépendamment sur cette route) : conteneur du héros à 760px au lieu du .wrap pleine largeur (1180px) — x=260 mesuré au lieu de x=50, ce qui écrasait aussi le chapeau (315px de haut au lieu de 158px, contraint à 760px au lieu de son max-width propre 820px) ; padding de la section 84px 0 70px au lieu de 86px 0 74px ; date du jour de semaine en minuscule au lieu de majuscule. Kicker déjà correct : badge seul, sans libellé de type (jamais de ""Enseignement""/""Examen des Écritures"" ici, conforme à la maquette propre à cette rubrique)."
VS.02,[SECTION 02] Corps — sections numérotées,Compteur CSS 01/02… devant chaque h2 (.entry-body.numbered-sections),.entry-body.numbered-sections > h2::before (counter-reset/counter-increment),.v2-article-page.vs .article-body .content-col (counter-reset) / h2::before,CONFORME,CONFORME,CONFORME,CONFORME,CONFORME,"BUG RÉEL MAJEUR CORRIGÉ : mécanisme entièrement absent de la V2 avant ce tour — aucun compteur CSS, aucune numérotation, alors que c'est une caractéristique structurante propre à La Vie Supérieure (enseignement approfondi, sections numérotées). Le corps rend chaque bloc de texte dans son propre <div class=""body-html vs""> séparé (pour dangerouslySetInnerHTML) : un compteur CSS s'incrémente correctement à travers ces enfants intermédiaires tant que counter-reset est posé sur un ancêtre commun (.content-col) — aucune restructuration du gabarit nécessaire. Vérifié en injectant deux <h2> réels dans deux <div> frères distincts : ""01""/""02"" affichés dans le bon ordre, couleur/police/taille conformes à la maquette."
VS.03,[SECTION 02] Corps — thématiques (.topic-list),"Pastilles à contour, SANS conteneur séparateur (contrairement à Que Dit la Bible)",".topic-list{margin-top:24px;gap:8px} (bare, pas de .article-topics ici)",.v2-article-page.vs .article-body .chip-row,CONFORME,CONFORME,CONFORME,CONFORME,CONFORME,"BUG RÉEL CORRIGÉ : gap 6px au lieu de 8px, aucune marge au-dessus (0 au lieu de 24px). Aucun conteneur .article-topics ajouté ici (à la différence de Que Dit la Bible) : la maquette propre à La Vie Supérieure ne prévoit aucun filet séparateur à cet endroit, vérifié directement dans le HTML/CSS source, jamais supposé par analogie. Ordre J'aime → thématiques déjà correct dans le code (jamais transposé depuis Que Dit la Bible, qui a l'ordre inverse dans sa propre maquette)."
VS.04,[SECTION 02] Corps — citation en exergue et citations bibliques (couleur),Couleur du texte du pull-sentence et de la bordure des citations en ligne,".pull-sentence{color:#fff !important} / .entry-body blockquote (règle unique, universelle, sans variation par rubrique)",.body-html.vs figure{color:var(--blue)} / .body-html.vs blockquote{border-left-color:var(--blue)},CONFORME,CONFORME,CONFORME,SIGNALÉ — NON MODIFIÉ,CONTRÔLE MANUEL — À CONFIRMER,"CONTRÔLE MANUEL — SIGNALÉ, NON MODIFIÉ : une décision du 06/09 applique le bleu (couleur de la rubrique, comme .feed-badge.vs) à la citation en exergue et aux citations bibliques du corps sur La Vie Supérieure, par analogie avec le code couleur des badges. Or la maquette statique ne montre AUCUNE variation de couleur par rubrique pour ces deux éléments : .pull-sentence et le blockquote de corps sont des règles CSS uniques et universelles (blanc/violet identiques sur tous les exemples, y compris Que Dit la Bible, déjà corrigé en violet/blanc ce mois-ci). Cet écart n'est donc pas corrigé automatiquement ici (pas de préemption d'une décision éditoriale) — signalé pour confirmation avant de le traiter soit comme une exception validée (le bleu est un choix assumé, à consigner explicitement), soit comme un bug à aligner sur le blanc/violet universel."
VS.05,[SECTION 03] Zone de partage,ShareCartouche (composant partagé déjà certifié),".share-zone/.share-inner/.share-invite/.share-row/.share-icon (×8) — valeurs identiques à Que Dit la Bible, remesurées indépendamment sur cette route",.v2-article-page.vs .share-zone/.share-block/.share-invite/.share-row/.share-icon,CONFORME,CONFORME,CONFORME,CONFORME,CONFORME,"Design non reconstruit. Mêmes écarts que Que Dit la Bible retrouvés et corrigés ici indépendamment (jamais par analogie, remesurés sur cette route) : icônes nues 21×21 sans cadre au lieu de 46×46 encadré, SMS masqué sur desktop, padding de zone 16px au lieu de 55px, .share-invite/.share-row 14px/700/gap 24px au lieu de 16px/800/gap 8px sans filets. Hover réel testé (fond blanc, icône violette, translation -2px)."
VS.06,[SECTION 04] Autres articles similaires — présence,Bloc entièrement absent de la V2,".related-section (juste après .share-zone, avant les composants communs)","RelatedArticlesSection (composant partagé, ajouté)",ABSENT V2 CORRIGÉ,CONFORME,CONFORME,CONFORME,CONFORME,"BUG RÉEL MAJEUR CORRIGÉ : la branche La Vie Supérieure n'appelait jamais RelatedArticlesSection, alors que sa propre maquette (nouvel-article-61cdg) affiche bien ""Autres articles similaires"" juste après la zone de partage. Composant partagé déjà certifié (Que Dit la Bible/Rosée Matinale/Je Confesse), jamais reconstruit — simplement ajouté à cet emplacement, affiché indépendamment du verrouillage (contenu promotionnel, pas le corps réservé). Recontrôlé indépendamment sur cette route : grille 3 colonnes à 381px, cartes à 381×hauteur homogène, padding/marges identiques à la correction déjà validée."
VS.07,Bloc « ← Toutes les publications »,Présence — bloc supplémentaire V2,"ABSENTE — la maquette termine .entry-body-section → .share-zone → .related-section, rien d'autre",.back-cta (retiré),SUPPLÉMENTAIRE V2 RETIRÉ,CONFORME,CONFORME,CONFORME,CONFORME,"BUG RÉEL CORRIGÉ, même précédent que Que Dit la Bible (QA.10) : bloc sans équivalent dans la maquette propre à La Vie Supérieure non plus — vérifié avant suppression qu'il ne portait aucune fonction indispensable (lien statique déjà présent dans le menu principal)."
VS.08,Bloc « Prière & Déclaration »,Présence et position — extension fonctionnelle non documentée dans la maquette,ABSENTE de la maquette statique La Vie Supérieure (aucune fiche ne l'illustre),".article-extras/.prayer-card (conservé après .related-articles, position inchangée par rapport à avant ce tour)",CONTRÔLE MANUEL,CONFORME,CONFORME,CONFORME,CONTRÔLE MANUEL — À CONFIRMER,"CONTRÔLE MANUEL — SIGNALÉ, NON RETIRÉ : ce bloc a été ajouté le 07/09 comme extension assumée du champ ""Prière & Déclaration"" à La Vie Supérieure (même grille que Que Dit la Bible), mais aucune fiche de la maquette statique ne montre cet exemple pour cette rubrique — impossible de vérifier sa position/son habillage exact contre une source réelle. Conservé par défaut (ne pas supprimer une fonctionnalité sans certitude qu'elle est superflue), repositionné seulement après Articles similaires (jamais avant, pour respecter l'ordre share→related strictement conforme à la maquette) — mais sa présence même reste à confirmer explicitement. Habillage (fond/couleurs) corrigé pour rester cohérent avec Que Dit la Bible en attendant cette confirmation."
VS.09,[SECTION 01] Hero — Badge « La Vie Supérieure »,Pastille colorée (.feed-badge.badge-life) — invalide une conformité déclarée à tort dans VS.01,".feed-badge,.category-badge{display:inline-flex;min-height:28px;padding:5px 10px;border-radius:999px;font-size:11px;font-weight:800;letter-spacing:.065em;text-transform:uppercase} + .badge-life{color:#fff;background:#49369b}",.v2-article-page.vs .article-cat-badge,CONFORME,CONFORME,CONFORME,CONFORME,CONFORME,"BUG RÉEL MAJEUR CORRIGÉ (validation humaine, 14/09) : le badge se limitait à un texte lavande nu (bg transparent, aucun padding/radius, 13px/750) — la règle partagée .v2-article-page .article-cat-badge (background:none, jamais comparée précisément à .feed-badge.badge-life) s'appliquait sans override propre à .vs. Corrigé : pastille pleine #49369b, texte blanc 11px/800/uppercase, padding 5px 10px, radius 999px — re-mesuré 138×28, identique au pixel près à la maquette (x=50,y=213 dans le Hero, avant le titre). Aucune autre partie du Hero modifiée (h1/chapeau/métadonnées déjà conformes, revérifiés inchangés). SIGNALÉ SANS CORRECTION : le même écart affecte vraisemblablement Que Dit la Bible (même règle partagée, badge toujours nu mesuré à bg transparent) — cette page reste fermée, non retouchée dans cette reprise."
VS.10,"[SECTION 02] Corps éditorial — sections numérotées, preuve sur contenu réel",Vrais <h2> créés depuis le CMS → numérotation 01/02/03 automatique,.entry-body.numbered-sections > h2::before (compteur CSS),".v2-article-page.vs .article-body h2 (mécanisme déjà vérifié la veille avec le vrai composant RichTextEditor + la vraie extractParagraphs(), sans DB)",CONFORME,CONTRÔLE MANUEL REQUIS,CONFORME,CONFORME,CONTRÔLE MANUEL REQUIS,"CONTRÔLE MANUEL REQUIS — aucun article La Vie Supérieure actuellement publié ne contient de vrai <h2> (tous utilisent encore l'ancien contournement manuel ""1. Titre"" en gras dans une citation, jamais remplacé) : impossible de prouver la chaîne CMS→base→rendu sur un contenu réel sans créer une entrée depuis l'admin, ce qui nécessite une connexion admin réelle — bloquée dans cette session par les contrôles de sécurité de l'environnement (création de compte de test refusée), et une injection DOM synthétique est explicitement exclue comme preuve de substitution par l'instruction. STRUCTURE/COMPOSITION/STYLE du mécanisme restent CONFORME (déjà vérifiés la veille avec le vrai composant RichTextEditor réel, dispatch d'événements réels, sans manipulation directe du DOM final) ; CONTENU ne peut pas être certifié tant qu'aucune vraie entrée n'existe. Image dynamique du CMS (cover_url) revérifiée inchangée sur cette route (aucune régression, aucune modification apportée)."
