identifiant,section,element,selecteur_maquette,correspondant_v2,statut,note
QDLB.01,QDLB-00 Page entière,-webkit-font-smoothing,body (auto),.v2-category-hub-page,CONFORME,corrigé : -webkit-font-smoothing:auto restauré sur .v2-category-hub-page (héritait antialiased du body global)
QDLB.02,QDLB-00 Page entière,"line-height hérité (meta, pagination)",body/.hub-entry-meta (1.6 → 20.8px),.v2-category-hub-page,CONFORME,"corrigé : line-height 1.6 restauré sur .v2-category-hub-page (héritait ""normal"" du body global) — hauteur 20.8px identique à la maquette désormais"
QDLB.03,QDLB-01 Hero (.category-hero),Conteneur category-hero (fond encre),.category-hero,.v2-category-hub-hero,CONFORME,"re-mesuré directement (extract_full.js, viewport 1280) : identique à la maquette — déjà correct depuis la reconstruction du 11/09, recontrôlé intégralement et indépendamment pour ce chantier, sans présumer cette reconstruction conforme"
QDLB.04,QDLB-01 Hero (.category-hero),Filigrane numéro « 01 » (category-mark),.category-mark,.v2-category-hub-mark,CONFORME,"re-mesuré directement (extract_full.js, viewport 1280) : identique à la maquette (116px/600/rgba(255,255,255,.2))"
QDLB.05,QDLB-01 Hero (.category-hero),H1 « Que dit la Bible ? »,.category-hero h1,.v2-category-hub-hero h1,CONFORME,"re-mesuré directement (extract_full.js, viewport 1280) : identique à la maquette (82px/500/letterSpacing -3.444px)"
QDLB.06,QDLB-01 Hero (.category-hero),Chapô hero,.category-hero p,.v2-category-hub-hero p,CONFORME,"re-mesuré directement (extract_full.js, viewport 1280) : identique à la maquette (18px/1.72)"
QDLB.07,QDLB-02 Flux (.category-feed.direct-feed),"Grille feed (category-feed-grid → colonne unique, max-width 940px)",.direct-feed .category-feed-grid,.v2-category-hub-feed,CONFORME,"re-mesuré directement (extract_full.js, viewport 1280) : identique à la maquette"
QDLB.08,QDLB-02 Flux (.category-feed.direct-feed),Carte à la une (featured) — fond/dégradé,.direct-feed .category-article.featured,CategoryHubFeed (featured),CONFORME,"re-mesuré directement (extract_full.js, viewport 1280) : identique à la maquette (fond radial + encre, box-shadow)"
QDLB.09,QDLB-02 Flux (.category-feed.direct-feed),"Titre à la une (h2, soulignement dégradé)",.direct-feed .category-article.featured h2,CategoryHubFeed h2,CONFORME,"re-mesuré directement (extract_full.js, viewport 1280) : identique à la maquette (clamp(36px,4.4vw,50px), soulignement linear-gradient)"
QDLB.10,QDLB-02 Flux (.category-feed.direct-feed),"Chapô à la une (italique, bordure violette)",.direct-feed .category-article.featured p,CategoryHubFeed p,CONFORME,"re-mesuré directement (extract_full.js, viewport 1280) : identique à la maquette (19px italique, bordure gauche #a985ff)"
QDLB.11,QDLB-02 Flux (.category-feed.direct-feed),Meta à la une — date (time),".hub-entry-meta time (muted, PAS violet clair même sur featured)",.v2-category-hub-feed .hub-entry-meta time,CONFORME,"BUG RÉEL CORRIGÉ : une règle .featured .hub-entry-meta time{color:#d9ccff} avait été ajoutée en V2 sans exister réellement dans la maquette (vérifié par lecture des règles CSS effectivement appliquées à l'élément, pas seulement du fichier .css) — supprimée, .v2-muted restauré"
QDLB.12,QDLB-02 Flux (.category-feed.direct-feed),"Meta à la une — vues (span, violet clair)",.direct-feed .category-article.featured .hub-entry-meta span,.v2-category-hub-feed .category-article.featured .hub-entry-meta span,CONFORME,"re-mesuré directement (extract_full.js, viewport 1280) : identique à la maquette (#d9ccff confirmé, contrairement au time ci-dessus)"
QDLB.13,QDLB-02 Flux (.category-feed.direct-feed),Cartes standards — titre (h2 31px),.direct-feed .category-article:not(.featured) h2,CategoryHubFeed h2 (standard),CONFORME,"re-mesuré directement (extract_full.js, viewport 1280) : identique à la maquette"
QDLB.14,QDLB-02 Flux (.category-feed.direct-feed),Cartes standards — meta (date/vues),.hub-entry-meta,.v2-category-hub-feed .hub-entry-meta,CONFORME,"re-mesuré directement (extract_full.js, viewport 1280) : identique à la maquette (après correction line-height ci-dessus)"
QDLB.15,QDLB-02 Flux (.category-feed.direct-feed),Lien « Lire la suite »,.feed-entry p strong / .category-article p strong,.v2-category-hub-feed .feed-cta-inline (ou équivalent),CONFORME,"re-mesuré directement (extract_full.js, viewport 1280) : identique à la maquette (13.26px/800)"
QDLB.16,QDLB-02 Flux (.category-feed.direct-feed),Pagination,".direct-feed .pagination (max-width 940px, centré)",.v2-category-hub-pagination,CONFORME,"re-mesuré directement (extract_full.js, viewport 1280) : identique à la maquette (après correction line-height ci-dessus, 40×40px, couleurs identiques)"
QDLB.17,QDLB-03 Contenu dynamique,Nombre d'articles affichés / pagination réelle,contenu variable (6 articles dans ce snapshot),getArticlesFeed(qdlb),CONFORME,"fonctionnalité réelle inchangée, gabarit vérifié conforme indépendamment du nombre d'articles publiés"
